Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E,Foto,Formación,Camiseta
31/05/1959,N Rossi,local,empate,0,0,Rosario Central,6° fecha del Campeonato 1959,El Palacio,Ventre,"Walter Taibo; Carlos Arredondo, Hebert Pérez, Oscar Villano y Miguel Vidal; Osvaldo Crosta y Juan J Bagnera; Ernesto Sansone, Oscar Rossi, Elio Montaño y Feliciano Grande.","Bertoldi; Álvarez, Lombardi, La Rosa y Cardoso; Rivero y Minni; Sánchez, Juárez, Colla y Giménez.",1° Tiempo: Huracán 0x0 Central,45,90,0,0,Foto,Formación,Camiseta
03/06/1959,N Rossi,visitante,derrota,0,2,Nacional (Uruguay),Amistoso 1959,Centenario (Montevideo),Domínguez,"Walter Taibo (Miguel Rojas); Carlos Arredondo (Reinaldo Molina), Sosa, Miguel Vidal (Miguel Romero) y Oscar Villano (Luis Bellatti); Osvaldo Crosta y Juan J Bagnera; Rodolfo Micheli (Héctor Aramendi), Oscar Rossi, Elio Montaño (Suárez) y Feliciano Grande (Jorge Diz).","Cardinal; Mesías, Di Fabio, Rodríguez Andrade y Ávalos; Núñez y J Romero; Brítos, Gómez, Landaco (Collazo) y Escalada.",GOL Núñez (NAC)</br>GOL Núñez (NAC),45,90,0,0,Foto,Formación,Camiseta
07/06/1959,N Rossi,visitante,victoria,2,1,Boca Juniors,7° fecha del Campeonato 1959,La Bombonera,Miguel Comesaña,"Walter Taibo; Hebert Pérez y Miguel Vidal; Carlos Arredondo, Juan Bagnera y José Sanez; Rodolfo Micheli, Osvaldo Crosta, Oscar Rossi, Elio Montaño y Jorge Diz.","Julio Musimessi; Luis Cardoso y Federico Edwards; Francisco Lombardo, Antonio Rattín y Eliseo Mouriño; Angel Nardiello, Javier Ambrois, Pedro Mansilla, Juan J Rodríguez y José Yudica.",6 GOL Elio Montaño (HUR) -asistencia de Rodolfo Micheli (HUR)-</br>15 GOL Oscar Rossi (HUR) -tiro libre-</br>75 GOL Pedro Mansilla (BJU) -fuerte tras rechazo de arquero-,45,90,0,0,Foto,Formación,Camiseta
14/06/1959,N Rossi,local,victoria,3,1,Gimnasia y Esgrima (La Plata),8° fecha del Campeonato 1959,El Palacio,Bossolino,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta y Juan J Bagnera; Rodolfo Micheli, Oscar Rossi, Elio Montaño y Jorge Diz.","Gerónimo; García, Galeano, Vivas y Molina; Prado y Novarini; Cabrera, Eduardo V Domínguez, Roberto Bellomo y Arrambide.",18 GOL Roberto Bellomo (GLP)</br>33 GOL Oscar Rossi (HUR)</br>44 GOL Elio Montaño (HUR)</br>45 EXP Galeano (GLP)</br>52 GOL Osvaldo Crosta (HUR)</br>55 EXP Novarini (GLP),45,90,0,0,Foto,Formación,Camiseta
21/06/1959,N Rossi,visitante,derrota,0,4,Independiente,9° fecha del Campeonato 1959,Doble Visera,Ventre,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta y Juan J Bagnera; Rodolfo Micheli, Oscar Rossi, Elio Montaño y Jorge Diz.","Abraham; Ferreiro, Navarro, Varacka y Britos; Abeledo y Rodríguez; Carbone, Jiménez, Nakwacki y Cruz.",7 GOL Abeledo (IND)</br>19 GOL Jiménez (IND)</br>20 GOL Jiménez (IND)</br>69 GOL Cruz (IND),45,90,0,0,Foto,Formación,Camiseta
28/06/1959,N Rossi,local,empate,2,2,Atlanta,10° fecha del Campeonato 1959,El Palacio,Spinetto,"Walter Taibo; Carlos Arredondo, Hebert Pérez, Oscar Villano y Miguel Vidal; Osvaldo Crosta, José Sanez y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Elio Montaño.","Rocha (86 Errea); Desanzo, Clariá, Bettinotti y Zivec; Mario Griguol y Carlos Griguol; Alberto Dezorzi, Calvanese, Osvaldo Zubeldía y Roque.",8 GOL Alberto Dezorzi (ATL)</br>19 GOL Oscar Rossi (HUR) -penal-</br>36 GOL Mario Griguol (ATL)</br>40 GOL Oscar Rossi (HUR),45,90,0,0,Foto,Formación,Camiseta
05/07/1959,N Rossi,visitante,victoria,2,1,Vélez Sarsfield,11° fecha del Campeonato 1959,Vélez Sarsfield,Nai Foino,"Walter Taibo; Carlos Arredondo, Hebert Pérez, Oscar Villano y Miguel Vidal; Osvaldo Crosta, José Sanez y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Elio Montaño.","Rodríguez; Simeone, Batagelj, Bosich y Mareque; Avio y Cielinski; Bonanno, Trigili, López Espinosa y Mosca.",9 GOL Walter Taibo (VSA) -en contra-</br>12 GOL Rodolfo Micheli (HUR)</br>43 GOL Oscar Rossi (HUR),45,90,0,0,Foto,Formación,Camiseta
09/07/1959,N Rossi,visitante,empate,2,2,Liga de Rafaela,Amistoso 1959 (fecha patria),(Rafaela),desconocido,-,-,sin datos,45,90,0,0,Foto,Formación,Camiseta
12/07/1959,N Rossi,visitante,empate,0,0,Liga de Paraná,Amistoso 1959 (fecha patria),(Paraná),desconocido,-,-,sin datos,45,90,0,0,Foto,Formación,Camiseta
24/07/1959,N Rossi,visitante,empate,2,2,Barcelona (Ecuador),1° fecha del Cuadrangular de Guayaquil 1959 (amistoso),Modelo (Guayaquil),desconocido,"Walter Taibo; Reinaldo Molina, Victorio Civrán, Néstor Rossi y Miguel Romero; Juan C Soria y Luis Bellatti; Ernesto Sansone, Suárez, Borrá y Juan L Cañete.","Mejía; Lecaro, Estévez, Macías y Reeves Patterson; Cañarte (Galo Pinto) y Zambrano; Salcedo, Spencer, Moyano y Ortega.",22 GOL Spencer (BAR)</br>GOL Moyano (BAR)</br>GOL Juan C Soria (HUR)</br>GOL Juan C Soria (HUR),45,90,0,0,Foto,Formación,Camiseta
26/07/1959,N Rossi,local,derrota,1,4,San Lorenzo de Almagro,12° fecha del Campeonato 1959,El Palacio,Brozzi,"Miguel Rojas; Carlos Arredondo, Hebert Pérez, Oscar Villano y Miguel Vidal; Osvaldo Crosta, José Sanez y Jorge Diz; Jorge Defilpo, Oscar Rossi y Alberto Flamini.","Carrillo; Martina, Cancino, Schiro y David Iñigo; Ruiz y Reynoso; Facundo, García, Sanfilippo y Boggio.",11 GOL Jorge Diz (HUR)</br>32 GOL Boggio (SLA)</br>41 GOL José Sanfilippo (SLA)</br>73 GOL José Sanfilippo (SLA)</br>50 GOL Ruiz (SLA),45,90,0,0,Foto,Formación,Camiseta
26/07/1959,N Rossi,visitante,victoria,3,0,Emelec (Ecuador),2° fecha del Cuadrangular de Guayaquil 1959 (amistoso),Modelo (Guayaquil),Guerrero,"Julián Sánchez; Reinaldo Molina, Victorio Civrán, Néstor Rossi y Miguel Romero; Juan C Soria y Luis Bellatti; Ernesto Sansone, Suárez, Borrá y Juan L Cañete.","Yu Lee; Sierra (Galarza), Ubilla, Cruz Ávila y Argüello; Castromán (Altamirano) y Gómez; Balseca, Raffo, Soto (Mera) y Aquiño.",GOL Néstor Rossi (HUR) -penal-</br>GOL Juan C Soria (HUR)</br>GOL Suárez (HUR),45,90,0,0,Foto,Formación,Camiseta
29/07/1959,N Rossi,neutral,derrota,0,2,Peñarol (Uruguay),3° fecha del Cuadrangular de Guayaquil 1959 (amistoso),Modelo (Guayaquil),Bergara,"Julián Sánchez; Luis Bellatti (González), Reinaldo Molina, Néstor Rossi (Enrique Brunetti) y Miguel Romero; Feliciano Grande y Villarroel; Suárez, Gutiérrez, Borrá y Juan L Cañete.","Bernardico; Martínez, Salvador, Gonçálves y Sicco; Griecco y Aguerre; Araújo, Hohberg, Coccinell y Borges.",GOL Hohberg (PEÑ)</br>GOL Griecco (PEÑ),45,90,0,0,Foto,Formación,Camiseta
02/08/1959,N Rossi,visitante,empate,2,2,Central Córdoba (Rosario),13° fecha del Campeonato 1959,La Tablada (Rosario),Padrón,"Walter Taibo; Carlos Arredondo, Victorio Civrán, Oscar Villano y Miguel Vidal; Osvaldo Crosta, José Sanez y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Palminteri; Valenti, Álvarez, Chan y Rivoiro; López y Novillo; Móbili, Federico, Bertral y Vizzo.",8 GOL Federico (CCR)</br>55 GOL Federico (CCR) -penal-</br>53 GOL Oscar Rossi (HUR)</br>56 GOL Rodolfo Micheli (HUR)</br>56 EXP José Sanez (HUR),45,90,0,0,Foto,Formación,Camiseta
02/08/1959,N Rossi,neutral,derrota,0,1,Peñarol (Uruguay),Desempate del Cuadrangular de Guayaquil 1959 (amistoso),Modelo (Guayaquil),desconocido,"Julián Sánchez; González, Reinaldo Molina, Néstor Rossi y Miguel Romero; Victorio Civrán y Villarroel; Suárez, Gutiérrez, Borrá y Juan L Cañete.","Bernardico; Sicco, Martínez, Salvador y Gonçálves; Griecco y Aguerre; Araújo, Hein, Crescio y Borges.",5 GOL Borges (PEÑ),45,90,0,0,Foto,Formación,Camiseta
09/08/1959,N Rossi,local,victoria,2,0,Newell's Old Boys (Rosario),14° fecha del Campeonato 1959,El Palacio,Lamolina,"Walter Taibo; Carlos Arredondo, Victorio Civrán, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Juan L Cañete; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Tarnawsky; Bialle, Ambrosich, Sacchi y Ponce; Merighi y Peano; González, Barrionuevo, Zurita y Ance.",27 GOL Juan C Soria (HUR)</br>40 EXP Ambrosich (NOB)</br>78 GOL Osvaldo Crosta (HUR)</br>87 EXP Carlos Arredondo (HUR),45,90,0,0,Foto,Formación,Camiseta
16/08/1959,N Rossi,visitante,empate,3,3,River Plate,15° fecha del Campeonato 1959,Monumental,Spinetto,"Walter Taibo; Carlos Arredondo, Victorio Civrán, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Juan L Cañete; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Amadeo Carrizo; Mantegari, Pérez, Ramacciotti y Vairo; Sarnari y Ramos Delgado; Gómez Sánchez, Luraschi, Norberto Menéndez y Zárate.",32 GOL Zárate (RPL)</br>33 GOL Oscar Rossi (HUR)</br>36 GOL Oscar Rossi (HUR) -penal-</br>42 GOL Juan L Cañete (HUR)</br>63 GOL Norberto Menéndez (RPL)</br>81 GOL Norberto Menéndez (RPL) -penal-,45,90,0,0,Foto,Formación,Camiseta
23/08/1959,N Rossi,visitante,derrota,3,5,Estudiantes (La Plata),16° fecha del Campeonato 1959,Uno (La Plata),Nai Foino,"Walter Taibo; Carlos Arredondo, Oscar Villano, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Juan L Cañete; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Toledo; Reymundo, Carriquiri, Magri y Alarcón; Vicente Gambardella y Zapa; Ruggeri, Ricardo Infante, Falcón y Stork.",6 GOL Ruggeri (ELP)</br>19 GOL Oscar Rossi (HUR)</br>23 GOL Juan C Soria (HUR)</br>33 GOL Stork (ELP)</br>41 GOL Juan C Soria (HUR)</br>50 GOL Alarcón (ELP) -penal-</br>68 GOL Ricardo Infante (ELP)</br>76 GOL Ruggeri (ELP),45,90,0,0,Foto,Formación,Camiseta
30/08/1959,N Rossi,local,derrota,0,2,Argentinos Juniors,17° fecha del Campeonato 1959,El Palacio,Miranda,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Ernesto Sansone, Oscar Rossi y Elio Montaño.","Moreno (83 Trebini); Di Stéfano, Mascarello, Orlando Nappe y Ditro; Pando y Pederzoli; Otero, Peduto, Bazo y Sciarra.",39 GOL Sciarra (AJU)</br>75 GOL Otero (AJU),45,90,0,0,Foto,Formación,Camiseta
06/09/1959,N Rossi,visitante,derrota,0,3,Ferro C. Oeste,18° fecha del Campeonato 1959,Caballito,Ventre,"Walter Taibo; Reinaldo Molina, Hebert Pérez, Oscar Villano y Miguel Vidal; Juan C Soria, José Sanez y Juan L Cañete; Osvaldo Crosta, Oscar Rossi y Elio Montaño.","Roma; Ríos, Mogaburu, Devita y Marzolini; Berón y Balay; Juárez, Acosta, Lugo y Garabal.",35 GOL Juárez (FCO)</br>61 GOL Acosta (FCO)</br>87 GOL Lugo (FCO),45,90,0,0,Foto,Formación,Camiseta
13/09/1959,N Rossi,local,derrota,1,4,Racing Club,19° fecha del Campeonato 1959,El Palacio,Bossolino,"Walter Taibo; Carlos Arredondo, Hebert Pérez, Luis Bellatti y Miguel Vidal; Osvaldo Crosta, José Sanez y Juan L Cañete; Alberto Rendo, Oscar Rossi y Juan C Soria.","Sánchez; De Vicente, Anido, Gianella y Murúa; Pizzuti y Sierra; Corbatta, Sosa, Reynoso y Belén.",9 GOL Reynoso (RAC)</br>24 GOL Sosa (RAC)</br>48 GOL Sosa (RAC)</br>54 GOL Juan C Soria (HUR)</br>72 GOL Corbatta (RAC),45,90,0,0,Foto,Formación,Camiseta
20/09/1959,N Rossi,local,victoria,2,1,Lanús,20° fecha del Campeonato 1959,El Palacio,Nai Foino,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Elio Montaño.","Sánchez; Leguía, Prato, Díaz y Beltrán; José Nazionale y Guidi; Carranza, Curia, Santos y Rambert.",49 GOL Rodolfo Micheli (HUR)</br>69 GOL Elio Montaño (HUR)</br>89 GOL José Nazionale (LAN),45,90,0,0,Foto,Formación,Camiseta
27/09/1959,N Rossi,visitante,empate,2,2,Rosario Central,21° fecha del Campeonato 1959,Arroyito (Rosario),Spinetto,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Alberto Flamini, Oscar Rossi y Elio Montaño.","Bertoldi; Álvarez, Lombardi, La Rosa y Cardoso; Rivero y Minni; Juárez, Colla, Castro y Giménez.",4 GOL Juárez (RCE)</br>25 GOL Elio Montaño (HUR)</br>68 GOL Juárez (RCE)</br>75 GOL Elio Montaño (HUR)</br>89 EXP Néstor Rossi (HUR),45,90,0,0,Foto,Formación,Camiseta
04/10/1959,N Rossi,local,victoria,1,0,Boca Juniors,22° fecha del Campeonato 1959,El Palacio,Goicoechea,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Alberto Flamini, Oscar Rossi y Elio Montaño.","Ayala; Lombardo, Rico, Mouriño y Heredia; Basílico y Rattín; Nardiello, Mansilla, Juan J Rodríguez y Juan C Rodríguez.",31 GOL Oscar Rossi (HUR),45,90,0,0,Foto,Formación,Camiseta
12/10/1959,N Rossi,visitante,derrota,3,4,Gimnasia y Esgrima (La Plata),23° fecha del Campeonato 1959,El Bosque (La Plata),Miranda,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Juan L Cañete; Alberto Flamini, Oscar Rossi y Jorge Diz.","Gerónimo; García, Pécora, Marinovich y Perillo; Prado y Arena; Aimar, Eduardo V Domínguez, Roberto Bellomo y Arrambide.",7 GOL Eduardo V Domínguez (GLP)</br>31 GOL Oscar Rossi (HUR)</br>39 GOL Roberto Bellomo (GLP)</br>50 GOL Juan L Cañete (HUR)</br>57 GOL Eduardo V Domínguez (GLP)</br>71 GOL Oscar Rossi (HUR)</br>88 GOL Prado (GLP),45,90,0,0,Foto,Formación,Camiseta
18/10/1959,N Rossi,local,empate,1,1,Independiente,24° fecha del Campeonato 1959,El Palacio,Brozzi,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Ernesto Sansone, Oscar Rossi y Alberto Flamini.","Abraham; Acevedo, Navarro, Maldonado y Britos; Abeledo y Rodríguez; Carbone, Jiménez, López y Sesti.",44 GOL López (IND)</br>88 GOL Osvaldo Crosta (HUR)</br>77 EXP Maldonado (IND)</br>77 EXP Oscar Rossi (HUR),45,90,0,0,Foto,Formación,Camiseta
28/10/1959,N Rossi,visitante,victoria,2,0,Atlanta,25° fecha del Campeonato 1959,Caballito,Praddaude,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Ernesto Sansone, Oscar Rossi y Juan C Soria.","Errea; Desanzo, Clariá, Asprela y Bettinotti; Osvaldo Güenzatti y Carlos Griguol; Mario Griguol, Artime, Osvaldo Zubeldía y Roque.",48 GOL Oscar Rossi (HUR)</br>53 GOL Oscar Rossi (HUR),45,90,0,0,Foto,Formación,Camiseta
01/11/1959,N Rossi,local,empate,0,0,Vélez Sarsfield,26° fecha del Campeonato 1959,El Palacio,Coerezza,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Ernesto Sansone, Oscar Rossi y Juan C Soria.","Rodríguez; Simeone, Batagelj, Bosich y García Fierro; Bonanno y Cielinski; Mosca, López Espinosa, Norberto Conde y Paladino.",1° Tiempo: Huracán 0x0 Vélez,45,90,0,0,Foto,Formación,Camiseta
08/11/1959,N Rossi,visitante,derrota,3,6,San Lorenzo de Almagro,27° fecha del Campeonato 1959,Gasómetro,Goicoechea,"Walter Taibo; Carlos Arredondo, Hebert Pérez, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Carrillo; Martina, Cancino, Schiro y David Iñigo; Ruiz y Reynoso; Facundo, García, Sanfilippo y Boggio.",13 GOL Jorge Diz (HUR)</br>26 GOL Boggio (SLA)</br>44 GOL José Sanfilippo (SLA)</br>1° Tiempo: San Lorenzo 2x1 Huracán</br>51 GOL Boggio (SLA)</br>56 GOL Juan C Soria (HUR)</br>60 GOL Jorge Diz (HUR)</br>64 GOL José Sanfilippo (SLA)</br>73 GOL José Sanfilippo (SLA)</br>78 GOL Boggio (SLA),45,90,0,0,Foto,Formación,Camiseta
11/11/1959,N Rossi,local,empate,1,1,Central Córdoba (Rosario),28° fecha del Campeonato 1959,El Palacio,Spinetto,"Walter Taibo; Carlos Arredondo, Victorio Civrán, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Palminteri; Valenti, Álvarez, Chan y Rivoiro; Vizzo y Villagra; Ráccaro, Federico, Bertral y Delogú.",17 GOL Juan C Soria (HUR)</br>72 GOL Delogú (CCR),45,90,0,0,Foto,Formación,Camiseta
14/11/1959,N Rossi,visitante,victoria,1,1,Newell's Old Boys (Rosario),29° fecha del Campeonato 1959,Parque Independencia (Rosario),Bossolino,"Walter Taibo; Carlos Arredondo, Victorio Civrán, José Sanez y Miguel Vidal; Osvaldo Crosta, Néstor Rossi y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Tarnawsky; Di Santo, Ambrosich, Sacchi y Echeverría; Merighi y Peano; González, Sosa, Zurita y Ance.",8 GOL Sacchi (NOB)</br>35 GOL Oscar Rossi (HUR)</br>71 Partido suspendido,45,71,0,0,Foto,Formación,Camiseta
20/11/1959,N Rossi,local,empate,1,1,River Plate,30° fecha del Campeonato 1959,El Palacio,Praddaude,"Walter Taibo; Carlos Arredondo, Victorio Civrán, José Sanez y Miguel Vidal; Osvaldo Crosta y Néstor Rossi y Jorge Diz; Rodolfo Micheli, Oscar Rossi y Juan C Soria.","Ovejero; Mantegari, Valentino, Urriolabeitia y Vairo; Sarnari y Ramacciotti; Gómez Sánchez, Norberto Menéndez, Onega y Zárate.",60 GOL Jorge Diz (HUR)</br>82 EXP Néstor Rossi (HUR)</br>83 GOL Norberto Menéndez (RPL) -penal-,45,90,0,0,Foto,Formación,Camiseta
07/01/1960,N Rossi,visitante,victoria,4,0,Dep. Cali (Colombia),1° fecha del Cuadrangular de Cali 1960 (amistoso),Pascual Guerrero (Cali),Ovidio Orrego,"Walter Taibo; Carlos Arredondo, Victorio Civrán (Ángel Julio), Villano y Miguel Vidal (Sánchez); Osvaldo Crosta y Néstor Rossi; Alberto Rendo, Oscar Rossi, Juan C Soria (Suárez) y Figueroa (Juan L Cañete).","Fernando Sierra; Víctor Suárez (Hernán Martínez), Luis Castro, Rubén Muzo y Luis Tejada; Camilo Cervino y Alberto Castronovo (Giomar Rojas); Miguel Panesso, Vergara, Juan M López y Guillermo Arredondo.",23 GOL Alberto Rendo (HUR)</br>70 GOL Suárez (HUR)</br>74 GOL Oscar Rossi (HUR)</br>83 GOL Oscar Rossi (HUR),45,90,0,0,Foto,Formación,Camiseta
