Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,FotoB,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
18/02/1970,Vigo,visitante,derrota,0,1,Rosario Central,Pase Giribet 1970 (amistoso),Arroyito (Rosario),-,"Raúl Navarro; Alberto Dopacio, Edgardo Cantú, Héctor Fresneda y Rodolfo Chazarreta; Alberto Rendo y Tito Gómez; Hugo Tedesco, Miguel Brindisi, Carlos Leone y Luis Giribet.","Biasutto; José González, Alberto Fanesi, Mesiano y Jorge Carrascosa; Bustos y Balbuena; Correa, Colman, Castronovo y Garello.",foto,88 GOL José González (RCE) -penal-,45,90,0,0
21/02/1970,Vigo,neutral,victoria,3,1,Racing Club,Amistoso 1970,Villa Crespo,Álvarez,"Raúl Navarro; Gramari (Chazarreta), Alberto Dopacio, Daniel Buglione y Fresneda; Alberto Rendo, Vilanova y Héctor Veira (Araquem de Melo); Hugo Tedesco, Vera y Osvaldo Clausi.","Sánchez; Enrique Wolff, Jorge Paolino, Rocchia y Nelson Chabay; Squeo, Aguirre (Benítez) y Adorno; Cárdenas, Moreno y Lamelza.",foto,33 GOL Alfredo Obberti (HUR)</br>37 GOL Moreno (RAC)</br>42 GOL Héctor Veira (HUR)</br>67 GOL Alfredo Obberti (HUR),45,90,0,0
24/02/1970,Vigo,visitante,victoria,5,4,Quilmes (Mar del Plata),Amistoso 1970,Gral. San Martín (Mar del Plata),Trisolini,"J Vázquez; Rolando Gramari, Alberto Dopacio, Daniel Buglione y Fresneda (Chazarreta); Alberto Rendo y Vilanova (Tito Gómez); Hugo Tedesco, Alfredo Obberti, Héctor Veira y Osvaldo Clausi (Juan C López).","Pérez (Quintian); Moreno, H Vázquez (Picabea), Di Donato y Vilar; Pazos y Alonso; Piro (Zanfrillo (Garro)), Bustos, Parodi y Chiquilito.",foto,6 GOL Di Donato (QMP)</br>13 GOL Pazos (QMP)</br>15 GOL Bustos (QMP)</br>38 GOL Rodolfo Vilanova (HUR)</br>42 GOL Héctor Veira (HUR)</br>69 GOL Héctor Veira (HUR)</br>86 GOL Héctor Veira (HUR)</br>46 GOL Chiquilito (QMP)</br>76 GOL Hugo Tedesco (HUR),45,90,0,0
26/02/1970,Vigo,visitante,victoria,6,3,Kimberley (Mar del Plata),Amistoso 1970,Gral. San Martín (Mar del Plata),desconocido,"Néstor Hernandorena; Rolando Gramari, Alberto Dopacio, Daniel Buglione y Chazarreta (Lavorato); Alberto Rendo (80 Sergio Cantú) y Vilanova; Hugo Tedesco, Alfredo Obberti, Osvaldo Clausi y Héctor Veira (57 Juan C López).  46 Tito Gómez","Ucha (46 Peppe); Minore y Deglinoccenti; Avio y Sangorrin; Ramírez, Cardone, Malleo y Catalano.",foto,9 GOL Malleo (KMP)</br>26 GOL Alberto Rendo (HUR)</br>47 GOL Héctor Veira (HUR)</br>58 GOL Alfredo Obberti (HUR)</br>62 GOL Juan C López (HUR)</br>67 GOL Juan C López (HUR)</br>68 GOL Malleo (KMP)</br>87 GOL Malleo (KMP)</br>89 GOL Sergio Cantú (HUR),45,90,0,0
04/03/1970,Vigo,visitante,derrota,2,4,Rosario Central,1° fase de la Copa Argentina 1970,Arroyito (Rosario),Boccardi,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Daniel Buglione (Palma) y Héctor Fresneda; Tito Gómez, Rodolfo Vilanoba y Hugo Tedesco (Juan C López); Alfredo Obberti, Héctor Veira y Osvaldo Clausi.","Biasutto; González, Alberto Fanesi, Mesiano y Jorge Carrascosa; Colman (H Díaz), M Bustos y Correa; Balbuena, Castronovo y Garello (Bustos).",foto,18 GOL Héctor Veira (HUR)</br>26 GOL Balbuena (RCE)</br>56 GOL Alfredo Obberti (HUR)</br>63 GOL Correa (RCE)</br>70 GOL Alberto Gómez (RCE)</br>84 GOL Castronovo (RCE),45,90,0,0
07/03/1970,Vigo,local,empate,1,1,Rosario Central,1° fase de la Copa Argentina 1970,Tomás A. Ducó,Busca,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Daniel Buglione y Héctor Fresneda; Tito Gómez (José Varela), Rodolfo Vilanoba y Hugo Tedesco; Juan C López (A Sotelo), Héctor Veira y Osvaldo Clausi.","Biasutto; González, Alberto Fanesi, Mesiano y Jorge Carrascosa; Pierucci, M Bustos y Correa (Díaz); Balbuena, Castronovo y A Gómez (Zavagno).",foto,8 GOL Osvaldo Clausi (HUR)</br>84 GOL Zavagno (RCE),45,90,0,0
18/03/1970,Vigo,neutral,derrota,0,2,San Lorenzo de Almagro,Amistoso 1970,Villa Crespo,Ithurralde,"Raúl Navarro; Fresneda, Alberto Dopacio, Edgardo Cantú (Osvaldo Clausi) y Lavorato; Tito Gómez, Rodolfo Vilanoba (Daniel Buglione); Hugo Tedesco, Roque Avallay, Héctor Veira y Luis Giribet.","Carlos Buticce (D'Alessandro); Glaría, Calics, Albrecht y Rosl; Rodríguez y Telch (Coco); Ayala (González), Veglio, Fischer y García Ameijenda.",foto,49 GOL Veglio (SLA)</br>65 GOL Fischer (SLA),45,90,0,0
22/03/1970,Vigo,local,victoria,5,3,Los Andes,1° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Ducatelli,"Raúl Navarro; Héctor Fresneda, Alberto Dopacio, Edgardo Cantú y Nelson López; Tito Gómez, Rodolfo Vilanoba y Héctor Veira (Osvaldo Clausi); Hugo Tedesco, Roque Avallay y Luis Giribet.","Barbosa; Vignale, Jorge Ginarte, Cardaci y Julio Bordatto; Manfredi y Dacunto; Donato, Alberto Cabaleiro, Da Graca (72 Ferreyra) y Vera (72 Bustamante).",foto,4 GOL Luis Giribet (HUR)</br>9 GOL Da Graca (AND)</br>15 GOL Hugo Tedesco (HUR)</br>24 GOL Luis Giribet (HUR)</br>43 GOL Cardaci (AND) -penal-</br>49 GOL Hugo Tedesco (HUR)</br>70 GOL Nelson López (HUR)</br>88 GOL Alberto Cabaleiro (AND),45,90,0,0
26/03/1970,Vigo,visitante,derrota,1,5,Independiente,2° fecha del Campeonato Metropolitano 1970,Doble Visera,Miculka,"Raúl Navarro; Héctor Fresneda, Alberto Dopacio, Edgardo Cantú y Nelson López; Tito Gómez, Rodolfo Vilanoba (Julio Alas) y Héctor Veira (Miguel Brindisi); Hugo Tedesco, Roque Avallay y Luis Giribet.","Santoro; Commisso, Monges, Semenewicz y Pavoni; Pastoriza y Raimondo; Bernao, Yazalde, Adorno y Tarabini.",foto,25 GOL Tarabini (IND)</br>62 GOL Pavoni (IND)</br>70 LES Tito Gómez (HUR)</br>73 GOL Hugo Tedesco (HUR)</br>74 GOL Adorno (IND)</br>78 GOL Héctor Yazalde (IND)</br>88 GOL Adorno (IND),45,90,0,0
30/03/1970,Vigo,visitante,derrota,0,1,Estudiantes (La Plata),3° fecha del Campeonato Metropolitano 1970,Uno (La Plata),Cazayous,"Raúl Navarro; Julio Alas, Alberto Dopacio, Edgardo Cantú y Nelson López; Miguel Brindisi, Carlos Leone y Araquem de Melo (Oscar Lacrampe); Hugo Tedesco, Roque Avallay y Luis Giribet.","Flores; Pagnanini, Spadaro, Togneri y Malbernat; Carlos Bilardo y Solari; Rudzki, Flores, Romeo y Verón.",foto,57 GOL Spadaro (ELP) -penal-,45,90,0,0
05/04/1970,Pedernera,local,derrota,2,4,River Plate,4° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Ángel Coerezza,"Raúl Navarro; Julio Alas, Alberto Dopacio, Edgardo Cantú y Nelson López; Alberto Rendo, Rodolfo Vilanoba y Héctor Veira (Carlos Babington); Hugo Tedesco, Miguel Brindisi y Luis Giribet.","Carballo; Ferreiro, M López, Laraignée y Dominichi; Rodríguez y Recio; Gennoni, Scotta, Trebucq y Oscar Mas.",foto,17 GOL Luis Giribet (HUR)</br>23 GOL Rodríguez (RPL)</br>27 GOL Luis Giribet (HUR)</br>37 GOL Oscar Mas (RPL) -penal-</br>43 GOL Oscar Mas (RPL)</br>76 GOL Scotta (RPL),45,90,0,0
12/04/1970,Pedernera,visitante,derrota,0,2,Quilmes,5° fecha del Campeonato Metropolitano 1970,Quilmes,Goicoechea,"Raúl Navarro; Julio Alas, Alberto Dopacio, Edgardo Cantú y Héctor Fresneda; Alberto Rendo (José Varela), Luis Abdenur y Carlos Babington (Roque Avallay); Hugo Tedesco, Miguel Brindisi y Luis Giribet.","Ubaldo Fillol; Touriño, Magliolo, Siciliano y Laginestra; Della Savia y Martínez; Cotton, Pérez (75 Puppo), Reguera e Ibáñez.",foto,6 GOL Della Savia (QAC)</br>62 GOL Cotton (QAC),45,90,0,0
19/04/1970,Pedernera,local,victoria,6,1,Newell's Old Boys (Rosario),6° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Ducatelli,"Raúl Navarro; Julio Alas, Alberto Dopacio, Edgardo Cantú y Héctor Fresneda; Carlos Leone, Otto Sesana (Daniel Buglione) y Miguel Brindisi; Hugo Tedesco, Roque Avallay (Araquem de Melo) y Luis Giribet.","Toriani; De Rienzo, Musante, Solórzano (4 Terzaghi) y Kairuz; Montes y Martínez; Marcos, Alfredo Obberti, Mario Zanabria (62 Veira) y Bezerra.",foto,9 GOL Luis Giribet (HUR)</br>22 GOL Miguel Brindisi (HUR)</br>25 GOL Alfredo Obberto (NOB) -penal-</br>47 GOL Daniel Buglione (HUR)</br>58 GOL Hugo Tedesco (HUR)</br>62 GOL Luis Giribet (HUR)</br>72 GOL Daniel Buglione (HUR),45,90,0,0
26/04/1970,Pedernera,visitante,victoria,2,0,Boca Juniors,7° fecha del Campeonato Metropolitano 1970,La Bombonera,Andrés Mateo,"Raúl Navarro; Julio Alas, Alberto Dopacio (66 Daniel Buglione), Edgardo Cantú y Héctor Fresneda; Alberto Rendo (13 Carlos Leone), Rodolfo Vilanova y Miguel Brindisi; Hugo Tedesco, Roque Avallay y Luis Giribet.","Antonio Roma; Luis Raspo, Antonio Rattín, Silvio Marzolini y Armando Ovide; Omar Larrosa (63 Mario Pardo), Antonio Cabrera y Orlando Medina; Ramón Ponce, Ángel Rojas y Aldo Villagra (46 Jorge Coch).",foto,12 GOL Miguel Brindisi (HUR)</br>49 GOL Luis Giribet (HUR) -tiro libre-,45,90,0,0
03/05/1970,Pedernera,local,victoria,3,2,San Lorenzo de Almagro,8° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Coerezza,"Raúl Navarro; Julio Alas, Daniel Buglione, Edgardo Cantú y Héctor Fresneda; Alberto Rendo, Rodolfo Vilanoba y Brindisi; Hugo Tedesco, Roque Avallay y Luis Giribet.","Buticce; Glaría, Sconfianza, Calics y Rosl; Amado y Cocco; Figueroa, Fischer, Telch y Veglio.",foto,25 Roque Avallay (HUR)</br>29 GOL Alberto Rendo (HUR)</br>49 GOL Figueroa (SLA)</br>69 GOL Hugo Tedesco (HUR)</br>72 GOL Fischer (SLA),45,90,0,0
10/05/1970,Pedernera,visitante,empate,0,0,Argentinos Juniors,9° fecha del Campeonato Metropolitano 1970,Atlanta,Ángel Coerezza,"Raúl Navarro; Julio Alas, Daniel Buglione, Edgardo Cantú y Héctor Fresneda; Alberto Rendo, Rodolfo Vilanoba y Miguel Brindisi; Hugo Tedesco, Roque Avallay y Luis Giribet.","L López; Marenda, Sosa, Pérez e Iglesias; Caputo y Plá; Luraschi, Ciccarello, Ribaudo y Alcíbar.",foto,1° Tiempo: Argentinos 0x0 Huracán,45,90,0,0
18/05/1970,Pedernera,local,empate,0,0,Banfield,10° fecha del Campeonato Metropolitano 1970,Gasómetro,Leiró,"Raúl Navarro; Julio Alas, Daniel Buglione, Edgardo Cantú y Héctor Fresneda; Alberto Rendo, Rodolfo Vilanoba y Miguel Brindisi; Hugo Tedesco, Roque Avallay (Araquem de Melo) y Luis Giribet.","Minoián; Haack, Tagliani, Masalis y Juan J López; Maidana (46 Mateos) y Salvatierra; Chaldú, Cáceres (73 Bedogni), O López y Zibecchi.",foto,Huracán 0x0 Banfield,45,90,0,0
24/05/1970,Pedernera,local,empate,1,1,Chacarita Juniors,11° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,García,"Raúl Navarro; Julio Alas, Daniel Buglione, Edgardo Cantú y Héctor Fresneda; Alberto Rendo, Rodolfo Vilanoba (Carlos Leone) y Miguel Brindisi; Hugo Tedesco, Araquem de Melo y Luis Giribet.","Carnevali; Cassallo, Ortiz, Bargas y Frassoldatti; Montes y Poncio; Marcos, Orife, Puntorero y Neumann.",foto,30 GOL Neuman (CHJ)</br>31 GOL Luis Giribet (HUR) -penal-,45,90,0,0
28/05/1970,Pedernera,visitante,empate,2,2,Lanús,12° fecha del Campeonato Metropolitano 1970,Lanús,Roberto Barreiro,"Raúl Navarro; Julio Alas (Rolando Gramari), Daniel Buglione, Edgardo Cantú y Héctor Fresneda; Alberto Rendo, Rodolfo Vilanoba y Miguel Brindisi; Hugo Tedesco, Araquem de Melo y Luis Giribet.","Ballesteros; Capurro, Nicolini, Piazza y Peralta; Suárez (78 Flores) y Carnevale; Cabrero, Silva, Bentrón y Lencina.",foto,1 GOL Miguel Brindisi (HUR)</br>12 GOL Hugo Tedesco (HUR)</br>35 GOL Bentrón (LAN) -penal-</br>83 GOL Bentrón (LAN) -penal-,45,90,0,0
31/05/1970,Pedernera,local,derrota,2,4,Atlanta,13° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Goicoechea,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Edgardo Cantú y Héctor Fresneda; Alberto Rendo, Rodolfo Vilanoba y Miguel Brindisi; Hugo Tedesco, Araquem de Melo (Carlos Babington) y Luis Giribet.","Oriolo; Fernández Vázquez, Rico, Morales y Gutiérrez; Collado y Vicente (76 O Gómez); Mastrángelo (82 Savino), Cano, J Gómez y Frattura.",foto,9 GOL Frattura (ATL) -penal-</br>27 GOL Mastrángelo (ATL)</br>39 GOL Frattura (ATL) -penal-</br>49 GOL Mastrángelo (ATL)</br>80 GOL Carlos Babington (HUR)</br>82 GOL Alberto Rendo (HUR),45,90,0,0
07/06/1970,O Rossi,visitante,victoria,2,0,Colón (Santa Fe),14° fecha del Campeonato Metropolitano 1970,Cementerio de Elefantes (Santa Fe),Oscar Veiró,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Edgardo Cantú y Héctor Fresneda; Alberto Rendo, José Varela y Miguel Brindisi; Hugo Tedesco, Araquem de Melo y Luis Giribet.","Tremonti; Lo Bello, Figueroa, Giombi y Bulgheroni; Bustos y Cobián; Rodríguez (77 Di Meola), Borgogno, Córdoba y Motura (70 Velázquez).",foto,69 GOL Tedesco (HUR)</br>83 GOL Miguel Brindisi (HUR),45,90,0,0
14/06/1970,Pedernera,local,derrota,0,1,Gimnasia y Esgrima (La Plata),15° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Roberto Barreiro,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Edgardo Cantú y Héctor Fresneda; Alberto Rendo (Rodolfo Vilanoba), José Varela y Miguel Brindisi; Hugo Tedesco, Araquem de Melo (Héctor Veira) y Luis Giribet.","Hugo Gatti; Gonzalo, Rezza, Masnik y Leonardi; Pedraza y Zywica (62 Comesaña); Pagnani (80 Pérez), Onnis, Diz y Castiglia.",foto,78 GOL Diz (GLP),45,90,0,0
21/06/1970,Pedernera,visitante,derrota,1,2,Rosario Central,16° fecha del Campeonato Metropolitano 1970,Arroyito (Rosario),García,"Raúl Navarro; Rolando Gramari, Alberto Dopacio, Edgardo Cantú y Héctor Fresneda; Tito Gómez (José Varela), Rodolfo Vilanoba y Miguel Brindisi; Hugo Tedesco, Roque Avallay y Luis Giribet.","Menutti (68 Biasutto); González, Pascuttini, Mesiano y Alberto Fanesi; Colman y Landucci; Balbuena, Castronovo (46 Zavagno), Correa y Roberto Gramajo.",foto,39 GOL Roberto Gramajo (RCE) -penal-</br>46 GOL Roberto Gramajo (RCE)</br>88 GOL Roque Avallay (HUR),45,90,0,0
28/06/1970,Pedernera,visitante,empate,1,1,Liga de Olavarría,Amistoso 1970,Racing (Olavarría),Amistoso 1970,"Raúl Navarro (Néstor Hernandorena); Julio Alas, Alberto Dopacio, Vilanoba y Fresneda; Miguel Brindisi, Edgardo Cantú (Daniel Buglione) y Luis Abdennur; Hugo Tedesco, Roque Avallay (Héctor Veira) y Juan C López.","Violi, Medina",foto,sin datos,45,90,0,0
05/07/1970,Pedernera,local,empate,2,2,Unión (Santa Fe),17° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Mateo,"Raúl Navarro; Julio Alas, Daniel Buglione, Alberto Dopacio y Héctor Fresneda; Luis Abdenur, Rodolfo Vilanoba y Miguel Brindisi; Hugo Tedesco, Roque Avallay y Juan C López.","Cordero; Sanseverino (75 Bravo), Pulcini, Cañete y Casal; Scotta y Toyé; Dusso, Martínez (6 Zuviría), Escalante y Noguera.",foto,12 GOL Noguera (UNI)</br>17 GOL Miguel Brindisi (HUR)</br>57 GOL Scotta (UNI)</br>62 EXP Rodolfo Vilanova (HUR)</br>62 EXP Toyé (UNI)</br>71 GOL Juan C López (HUR),45,90,0,0
12/07/1970,Pedernera,visitante,victoria,3,1,Vélez Sarsfield,18° fecha del Campeonato Metropolitano 1970,José Amalfitani,Ithurralde,"Raúl Navarro; Julio Alas, Daniel Buglione, Alberto Dopacio y Héctor Fresneda; Luis Abdenur, Edgardo Cantú y Miguel Brindisi (Héctor Veira); Hugo Tedesco, Roque Avallay y Luis Giribet.","Marín; Gallo, Romero, Nieva y Sinatra; Ríos y Zóttola; Maturo, Benito, Lapalma (61 Vitale) y Daniel Willington.",foto,2 GOL Luis Giribet (HUR)</br>33 Daniel Willington (VSA) -pnela-</br>62 GOL Roque Avallay (HUR)</br>71 GOL Roque Avallay (HUR),45,90,0,0
19/07/1970,Pedernera,local,empate,0,0,Racing Club,19° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Lugones,"Raúl Navarro; Julio Alas, Daniel Buglione, Alberto Dopacio y Héctor Fresneda; Luis Abdenur, Edgardo Cantú y Miguel Brindisi; Hugo Tedesco (Héctor Veira), Roque Avallay y Luis Giribet.","Cejas; Enrique Wolff, Roberto Perfumo, Rocchia y Díaz; Squeo y Aguirre; Lamelza, Cárdenas, Jorge (65 Benítez) y Domínguez.",foto,1 Tiempo: Huracán 0x0 Racing,45,90,0,0
27/07/1970,Pedernera,visitante,empate,1,1,Platense,20° fecha del Campeonato Metropolitano 1970,Tomás A. Ducó,Busca,"Raúl Navarro; Julio Alas, Daniel Buglione, Alberto Dopacio y Héctor Fresneda; Luis Abdenur, Edgardo Cantú y Miguel Brindisi (Héctor Veira); Hugo Tedesco, Roque Avallay y Luis Giribet.","Topini; Gatti, Piris, Errandonea y Zanotti; Mugione y Garmendia; Bulla (71 Doval), Subiat, Russo y Luis Cassano.",foto,36 GOL Luis Giribet (HUR)</br>44 GOL Luis Cassano (PLA),45,90,0,0
02/08/1970,Pedernera,neutral,derrota,0,1,Quilmes,1° fecha del Petit Torneo 1970,El Cilindro,Ithurralde,"Raúl Navarro; Héctor Fresneda, Daniel Buglione, Alberto Dopacio y Julio Alas; Luis Abdenur, Tito Gómez (67 Edgardo Cantú); Hugo Tedesco, Roque Avallay, Héctor Veira y Luis Giribet.","Ubaldo Fillol; Touriño, Magliolo, Juan Siciliano y Oscar Laginestra; Puppo (60 Sernia), Reguera; Cotton, Pérez (70 Ibáñez), Martínez y Leeb.",foto,43 GOL Cotton (QAC),45,90,0,0
09/08/1970,Rendo,neutral,derrota,1,2,Estudiantes (La Plata),2° fecha del Petit Torneo 1970,José Amalfitani,Barreiro,"Raúl Navarro; Julio Alas, Daniel Buglione, Alberto Dopacio y Héctor Fresneda; Miguel Brindisi y Edgardo Cantú; Hugo Tedesco (65 Tito Gómez), Roque Avallay, Héctor Veira y Luis Giribet.","Pezzano; Eduardo Manera, Aguirre Suárez, Togneri y Malbernat; Carlos Bilardo y Pachamé; Conigliaro, Flores (85 Romeo), Echecopar y Verón.",foto,4 GOL Eduardo Manera (ELP)</br>9 GOL Luis Giribet (HUR)</br>55 GOL Flores (ELP),45,90,0,0
16/08/1970,Rendo,neutral,derrota,1,2,Chacarita Juniors,3° fecha del Petit Torneo 1970,José Amalfitani,Veiró,"Raúl Navarro; Héctor Fresneda, Daniel Buglione, Alberto Dopacio y Julio Alas; Miguel Brindisi y Tito Gómez (84 Lacrampe); Juan C López, Roque Avallay, Carlos Babington y Luis Giribet.","Carnevali; Vassallo, Ortiz, Bargas y Frassoldatti; Zurita (66 Eresuma) y Poncio; Marcos, Orife, Neumann y Puntorero.",foto,27 GOL Marcos (CHJ)</br>36 GOL Luis Giribet (HUR)</br>90 GOL Puntorero (CHJ),45,90,0,0
06/09/1970,Faraone,visitante,victoria,5,0,Quilmes,1° fecha del Torneo Reclasificatorio 1970,La Bombonera,Barreiro,"Néstor Hernandorena; Héctor Fresneda, Alberto Dopacio, Edgardo Cantú y Julio Alas; Alberto Rendo (46 Héctor Veira) y Tito Gómez; Hugo Tedesco, Roque Avallay (80 Carlos Babington), Miguel Brindisi y Luis Giribet.","De Julio; Mabrich, Figueroa (46 Montagnoli), Meaurio y Roldán; Sandoval y Zalazar; Bourras, Rutkus (46 Lupo), Villa y Acuña.",foto,37 GOL Hugo Tedesco (HUR)</br>40 GOL Luis Giribet (HUR) -penal-</br>50 GOL Hugo Tedesco (HUR)</br>75 GOL Héctor Veira (HUR)</br>83 GOL Luis Giribet (HUR),45,90,0,0
20/09/1970,Faraone,local,empate,1,1,Los Andes,2° fecha del Torneo Reclasificatorio 1970,Eduardo Gallardón,Comesaña,"Néstor Hernandorena; Héctor Fresneda, Alberto Dopacio, Edgardo Cantú y Julio Alas; Tito Gómez y Alberto Rendo (89 Daniel Buglione); Miguel Brindisi, Roque Avallay, Héctor Veira (75 Carlos Babington) y Luis Giribet.","Barbosa; Vignale, Jorge Ginarte, Cardaci y Bordatto; Manfredi y Dacunto; Donato, Da Graca, Bustamante (46 Palma) y Vera.",foto,24 GOL Luis Giribet (HUR)</br>80 GOL Manfredi (AND),45,90,0,0
27/09/1970,Faraone,visitante,empate,2,2,Unión (Santa Fe),3° fecha del Torneo Reclasificatorio 1970,Tomás A. Ducó,Busca,"Néstor Hernandorena; Raúl Gardé (64 Héctor Fresneda), Alberto Dopacio, Daniel Buglione y Francisco Lavorato; Alberto Rendo (62 Roque Avallay) y Tito Gómez; Hugo Tedesco, Miguel Brindisi, Héctor Veira y Luis Giribet.","Cordero; Sanseverino, Pulcini, Cañete y Casal; Genolet (71 Rossi) y Dusso; Gentiletti, Martínez, Fredes y Noguera (46 Scotta).",foto,25 GOL Héctor Veira (HUR)</br>42 GOL Genolet (UNI)</br>53 GOL Martínez (UNI)</br>54 GOL Héctor Veira (HUR)</br>85 EXP Cañete (UNI),45,90,0,0
04/10/1970,Faraone,visitante,empate,1,1,Argentinos Juniors,4° fecha del Torneo Reclasificatorio 1970,Boyacá,Veiró,"Néstor Hernandorena; Raúl Gardé, Alberto Dopacio, Edgardo Cantú y Francisco Lavorato; Tito Gómez y Daniel Buglione; Hugo Tedesco (60 Roque Avallay), Miguel Brindisi, Héctor Veira y Luis Giribet.","Spilinga; Urchevik, Riestra, Pérez e Iglesias; Caputo y Pena; Ribaudo (65 Luca), Sosa, Ornad (78 Deluca) y Alcibar.",foto,24 GOL Luis Giribet (HUR)</br>63 GOL Ribaudo (AJU),45,90,0,0
11/10/1970,Faraone,local,victoria,5,0,Lanús,5° fecha del Torneo Reclasificatorio 1970,Tomás A. Ducó,Martínez Mayo,"Néstor Hernandorena; Raúl Gardé, Alberto Dopacio (71 Daniel Buglione), Edgardo Cantú y Francisco Lavorato; Alberto Rendo y Tito Gómez; Hugo Tedesco, Miguel Brindisi, Héctor Veira (46 Nogueira) y Luis Giribet.","Trillo; Capurro, Sabella, Nicolini y Regina; Kozak (46 Castillo) y Piazza; Machuca, A Silva, R Silva (46 Bentrón) y Lencina.",foto,12 GOL Héctor Veira (HUR)</br>22 GOL Héctor Veira (HUR)</br>31 GOL Luis Giribet (HUR) -penal-</br>38 GOL Héctor Veira (HUR)</br>62 GOL Miguel Brindisi (HUR)</br>86 EXP Nicolini (LAN),45,90,0,0
18/10/1970,Faraone,visitante,victoria,3,1,Colón (Santa Fe),6° fecha del Torneo Reclasificatorio 1970,Cementerio de Elefantes (Santa Fe),Mateo,"Néstor Hernandorena; Raúl Gardé, Alberto Dopacio, Edgardo Cantú y Francisco Lavorato; Alberto Rendo (54 Daniel Buglione) y Tito Gómez; Hugo Tedesco, Héctor Veira (70 Roque Avallay), Miguel Brindisi y Luis Giribet.","Constantino; Jáuregui, Figueroa, Coletti y Mellit; Córdoba y Lo Bello; Rodríguez (75 Bustos), Di Meola, Ceballo y Velázquez (57 Borgogno).",foto,25 GOL Luis Giribet (HUR)</br>34 GOL Ceballo (COL)</br>48 GOL Luis Giribet (HUR)</br>81 GOL Miguel Brindisi (HUR),45,90,0,0
22/10/1970,Faraone,local,victoria,2,0,Chacarita Juniors,Amistoso 1970,Tomás A. Ducó,desconocido,-,-,sin datos,GOL Hugo Tedesco (HUR)</br>GOL Alberto Rendo (HUR),45,90,0,0
25/10/1970,Faraone,local,derrota,0,1,Quilmes,7° fecha del Torneo Reclasificatorio 1970,Quilmes,Mateo,"Néstor Hernandorena; Raúl Gardé, Alberto Dopacio, Edgardo Cantú y Francisco Lavorato; Alberto Rendo (70 Daniel Buglione) y Tito Gómez; Hugo Tedesco, Héctor Veira (70 Roque Avallay), Miguel Brindisi y Luis Giribet.","Ubaldo Fillol; Meaurio, Magliolo, Sernia y Laginestra; Reguera y Bourras (61 Villa); Cotton, Ibáñez, Martínez y Leeb.",foto,65 GOL Cotton (QAC),45,90,0,0
08/11/1970,Faraone,visitante,derrota,1,2,Los Andes,8° fecha del Torneo Reclasificatorio 1970,Tomás A. Ducó,Boszo,"Néstor Hernandorena; Raúl Gardé, Alberto Dopacio, Edgardo Cantú y Francisco Lavorato; Alberto Rendo (64 Roque Avallay) y Tito Gómez; Hugo Tedesco (71 Daniel Buglione), Héctor Veira, Miguel Brindisi y Luis Giribet.","Barbosa; Vignale, Jorge Ginarte, Cardaci y Bordatto; Palma y Dacunto; Donato, Da Graca, Manfredi (73 Bustamante) y MonteCarlos Leone.",foto,10 GOL Cardaci (AND)</br>30 GOL Da Graca (AND)</br>75 GOL Ginarte (HUR) -en contra-,45,90,0,0
15/11/1970,Faraone,local,victoria,2,0,Unión (Santa Fe),9° fecha del Torneo Reclasificatorio 1970,15 de Abril (Santa Fe),Ángel Coerezza,"Néstor Hernandorena; Héctor Fresneda, Alberto Dopacio, Edgardo Cantú y Francisco Lavorato; Tito Gómez (84 Carlos Babington) y Daniel Buglione; Miguel Brindisi, Roque Avallay, Alberto Rendo y Héctor Veira (70 Luis Giribet).","Garzón; Del Bianco, Pulcini, Artucio y Bravo; Scotta y Toye (46 Casal); Cibeyra, Martínez, Dusso y Gentiletti (46 Zuviría).",foto,39 GOL Héctor Veira (HUR)</br>67 GOL Tito Gómez (HUR),45,90,0,0
