Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,FotoB,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
08/07/1973,Menotti,visitante,victoria,1,0,Atlanta,21° fecha del Campeonato Metropolitano 1973,Atlanta,Humberto Dellacasa,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile y Jorge Carrascosa; Omar Larrosa, Rubén Ríos (76 Ángel Tolisano) y Carlos Babington; Julio Tello (80 José Scalise), Francisco Del Valle y Eduardo Quiroga.","Carballo; Ledesma, Rico, Gutiérrez y López; Onnis (60 Ribolzi), Rodríguez (60 candau) y Gómez Voglino; Pappalardo, Cano e Ibáñez.",foto,41 GOL Eduardo Quiroga (HUR),45,90,0,0
15/07/1973,Menotti,visitante,empate,0,0,Racing Club,22° fecha del Campeonato Metropolitano 1973,El Cilindro,Jorge Romero,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile y Jorge Carrascosa; Francisco Russo, Carlos Leone (60 Rubén Ríos) y Carlos Babington; Eduardo Quiroga, Francisco Del Valle y Omar Larrosa.","Guibaudo; Gatti, Domínguez, Troncone y Malbernat; Squeo, Salvatierra y Jorge; Kaliszuk (58 Scotta), Lamelza (75 Rivadero) y Noguera.",foto,1° Tiempo: Racing 0x0 Huracán,45,90,0,0
24/07/1973,Menotti,local,victoria,1,0,Vélez Sarsfield,23° fecha del Campeonato Metropolitano 1973,Tomás A. Ducó,Roberto Barreiro,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile y Jorge Carrascosa; Omar Larrosa, Francisco Russo y Carlos Babington; Julio Tello, Francisco Del Valle y Eduardo Quiroga.","Fenoy; Correa, Riestra, García y Avanzi; Asad, Reguera y Mecca; Mazza (46 Fucceneco), Benito y Flores (79 Valenzuela).",foto,40 GOL Alfio Basile (HUR),45,90,0,0
29/07/1973,Menotti,visitante,victoria,1,0,Estudiantes (La Plata),24° fecha del Campeonato Metropolitano 1973,Uno (La Plata),Luis Pestarino,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile y Jorge Carrascosa; Carlos Leone (76 Julio Tello), Francisco Russo y Carlos Babington; Eduardo Quiroga, Francisco Del Valle y Omar Larrosa.","Pezzano; Del Curto, Togneri, Rodríguez y Medina; Amado, Crocci (74 Gile) y Pagnanini; Galletti, Verde (46 Mírcoli) e Ignacio Peña.",foto,67 GOL Carlos Babington (HUR),45,90,0,0
12/08/1973,Menotti,local,derrota,0,1,River Plate,26° fecha del Campeonato Metropolitano 1973,Tomás A. Ducó,Jorge Romero,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile y Jorge Carrascosa; Carlos Leone (76 José Scalise), Francisco Russo y Eduardo Quiroga; Julio Tello, Francisco Del Valle y Omar Larrosa.","Pérez; Jerez, Jáuregui, René Daulte y Giustozzi; Sánchez (58 Avanzi), Roa y López (63 Marchetti); Di Meola, Morete y Ghiso.",foto,81 GOL Jerez (RPL),45,90,0,0
15/08/1973,Menotti,visitante,victoria,2,0,All Boys,27° fecha del Campeonato Metropolitano 1973,Argentinos Juniors,Arturo Ithurralde,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile y Jorge Carrascosa (82 Dante Roma); Carlos Leone, Francisco Russo y Eduardo Quiroga; René Houseman, Francisco Del Valle (35 José Scalise) y Omar Larrosa.","Bargas; Belvedere, Paira, Díaz y Pereyra; Mamberto, Escalada (59 Dragonetti) y Medina; Cavallo, Sánchez (46 Benítez) y Zezinho.",foto,37 GOL José Scalise (HUR)</br>49 GOL René Houseman (HUR),45,90,0,0
19/08/1973,Menotti,local,empate,1,1,Rosario Central,28° fecha del Campeonato Metropolitano 1973,Tomás A. Ducó,Miguel Comesaña,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile (46 Edgardo Cantú) y Jorge Carrascosa; Francisco Russo, Carlos Leone (57 Julio Tello) y Eduardo Quiroga; René Houseman, José Scalise y Omar Larrosa.","Biasutto; José González, Pascuttini, Killer y Burgos; Carlos Aimar, Solari y Aldo Poy; Rubiola (62 Colman), Roberto Cabral y Arico (86 Astudillo).",foto,5 GOL Aldo Poy (RCE)</br>85 EXP Daniel Buglione (HUR)</br>EXP José González (RCE)</br>88 GOL Omar Larrosa (HUR) -penal-,45,90,0,0
26/08/1973,Menotti,visitante,empate,0,0,Chacarita Juniors,29° fecha del Campeonato Metropolitano 1973,Atlanta,Luis Pestarino,"Héctor Roganti; Nelson Chabay, Edgardo Cantú (46 Carlos Zeballos), Francisco Russo y Jorge Carrascosa; Julio Tello, Carlos Leone y Eduardo Quiroga; René Houseman, José Scalise y Omar Larrosa.","Petrocelli; Sinatra, Buzzo, Gumán y Frassoldatti; Leonardo Recúpero, Poncio y Astigarraga; Lizardo, García Cambón y Martiarena (87 Troilo).",foto,1° Tiempo: Chacarita 0x0 Huracán,45,90,0,0
02/09/1973,Menotti,local,victoria,1,0,Independiente,30° fecha del Campeonato Metropolitano 1973,Tomás A. Ducó,Arturo Ithurralde,"Héctor Roganti; Nelson Chabay, Edgardo Cantú, Alfio Basile y Jorge Carrascosa; Francisco Russo, Carlos Leone y Eduardo Quiroga; René Houseman, Francisco Del Valle (66 José Scalise) y Omar Larrosa.","Santoro; Comisso, Carmelo Giuliano, Luis Garisto y Pavoni; Palomba, Raimondo y Saggioratto; Daniel Bertoni, Giachello y Mendoza.",foto,22 GOL René Houseman (HUR),45,90,0,0
07/09/1973,Menotti,visitante,empate,0,0,Ferro C. Oeste,31° fecha del Campeonato Metropolitano 1973,Ferro,Roberto Barreiro,"Héctor Roganti; Nelson Chabay, Edgardo Cantú, Alfio Basile y Jorge Carrascosa; Carlos Leone, Francisco Russo y Eduardo Quiroga (60 José Scalise); René Houseman, Francisco Del Valle y Omar Larrosa.","Oriolo; Haack, Papandrea, Rocchia y De Filippo; Suárez, Saccardi y Arregui; Lorea, Vidal e Infantino.",foto,1° Tiempo: Ferro 0x0 Huracán,45,90,0,0
16/09/1973,Menotti,local,derrota,1,2,Gimnasia y Esgrima (La Plata),32° fecha del Campeonato Metropolitano 1973,Tomás A. Ducó,Arturo Ithurralde,"Héctor Roganti; Nelson Chabay, Edgardo Cantú, Alfio Basile y Jorge Carrascosa; Carlos Leone, Francisco Russo y Eduardo Quiroga (71 Ángel Tolisano); René Houseman, Francisco Del Valle (53 José Scalise) y Omar Larrosa.","Hugo Gatti; Gonzalo, Gottfrit, Rivero y Zanotti; Pedraza, Echauri y Bulla; Palacios, Della Savia y Villagra.",foto,47 GOL Gonzalo (GYE) </br>65 GOL Palacios (GYE)</br>85 GOL Omar Larrosa (HUR) -penal-</br>87 Suspendido por invasión del público,45,87,0,0
21/09/1973,Menotti,visitante,derrota,0,1,San Lorenzo de Almagro,33° fecha del Campeonato Metropolitano 1973,José Amalfitani,Ángel Coerezza,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú y Jorge Carrascosa; Carlos Leone (54 Adolfo Keurikián), Francisco Russo (62 Rubén Ríos) y Eduardo Quiroga; René Houseman, José Scalise y Omar Larrosa.","Agustín Irusta; Niño, Piris, Maletti y Olguin; Sergio Villar, Espósito y Pitarch; Salinas, Irigoyen (72 Veglio) y Oscar Ortiz.",foto,44 GOL Sergio Villar (SLO)</br>71 EXP Maletti (SLO),45,90,0,0
30/09/1973,Menotti,local,empate,2,2,Boca Juniors,34° fecha del Campeonato Metropolitano 1973,Tomás A. Ducó,Arturo Ithurraldde,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Alfio Basile y Jorge Carrascosa; Eduardo Quiroga, Francisco Russo y Omar Larrosa; René Houseman (67 Adolfo Keurikián), Francisco Del Valle y José Scalise.","Candia; Roberto Tarantini, Mouzo, Rogel y Bértole; Adorno (46 Benítez), Pachamé (58 Peracca) y Potente; Rodríguez, Curioni y Letanú.",foto,12 GOL Eduardo Quiroga (HUR)</br>56 GOL Curioni (BJU)</br>59 GOL Curioni (BJU)</br>76 GOL Omar Larrosa (HUR),45,90,0,0
02/10/1973,Menotti,local,derrota,0,1,Belgrano (Córdoba),Amistoso,Tomás A. Ducó,desconocido,Huracán,rival,foto,sin datos,45,90,0,0
05/10/1973,Menotti,visitante,victoria,2,0,Ferro C. Oeste,1° fecha del Campeonato Nacional 1973,Ferro,Luis Machuca,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú y Jorge Carrascosa; Carlos Leone, Francisco Russo y Eduardo Quiroga; René Houseman (55 Adolfo Keurikián), José Scalise y Omar Larrosa (65 Francisco Del Valle).","Oriolo; Haack, Collado (80 Confesor), Rocchia y De Filipo; Domingo D'Andrea, Saccardi y Arregui; Lorea, Vidal e Infantino.",foto,58 GOL Omar Larrosa (HUR)</br>76 EXP Lorea (FCO)</br>88 GOL Francisco Del Valle (HUR),45,90,0,0
14/10/1973,Menotti,local,victoria,1,0,Atlanta,3° fecha del Campeonato Nacional 1973,Tomás A. Ducó,Jorge Romero,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Carlos Babington; René Houseman (74 José Scalise), Roque Avallay y Omar Larrosa (65 Eduardo Quiroga).","Ortiz; Cortés, Rico, Gutiérrez y López; Onnis, Jorge Ribolzi y Gómez Voglino; Ibáñez, Cano y Candau.",foto,29 EXP Ibáñez (ATL)</br>70 GOL Miguel Brindisi (HUR),45,90,0,0
16/10/1973,Menotti,neutral,empate,2,2,San Lorenzo de Almagro,2° fecha del Campeonato Nacional 1973,La Bombonera,Oscar Veiró,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Carlos Babington (78 Eduardo Quiroga); René Houseman, Roque Avallay y Omar Larrosa.","D'Alessandro; Rubén Glaría, Piris (46 Niño), Rezza y Sergio Villar; Espósito (51 Cocco), Telch y Chazarreta; Scotta, Héctor Veira y Salinas.",foto,44 GOL Roque Avallay (HUR)</br>45 GOL Telch (SLO)</br>58 GOL Carlos Babington (HUR) -penal-</br>86 GOL Scotta (SLO) -penal-,45,90,0,0
19-10/1973,Menotti,visitante,victoria,2,1,Gimnasia y Esgrima (La Plata),4° fecha del Campeonato Nacional 1973,El Bosque (La Plata),Luis Pestarino,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Carlos Babington; René Houseman, Roque Avallay y Omar Larrosa.","Hugo Gatti; Gonzalo, Gottfrit, Rivero y Zanotti; Pedraza, Echauri y Bulla; Palacios (38 Durso), Della Savia y Villagra (80 Marasco).",foto,25 GOL Della Savia (GYE)</br>43 GOL René Houseman (HUR)</br>82 GOL Miguel Brindisi (HUR),45,90,0,0
24/10/1973,Menotti,local,victoria,2,0,Argentinos Juniors,5° fecha del Campeonato Nacional 1973,José Amalfitani,Norberto Coerezza,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú y Jorge Carrascosa; Miguel Brindisi (74 Eduardo Quiroga), Francisco Russo y Carlos Babington; René Houseman, Roque Avallay (84 José Scalise) y Omar Larrosa.","Spilinga; Marenda, Urchevik, Sosa y Montenegro; Pekerman, Tardivo y López (74 Tortoriello); Cordero, Pinasco y Moreno (65 Ciccarello).",foto,34 GOL Miguel Brindisi (HUR)</br>67 GOL René Houseman (HUR),45,90,0,0
28/10/1973,Menotti,visitante,empate,1,1,Belgrano (Córdoba),6° fecha del Campeonato Nacional 1973,Presidente Perón (Córdoba),Arturo Ithurralde,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú y Jorge Carrascosa; Miguel Brindisi, Francisco Russo y Carlos Babington (64 Eduardo Quiroga); René Houseman, Roque Avallay y Omar Larrosa (64 Francisco Del Valle).","Salas; Moreno, Cuellar, Coletti y Pavón; Syeyyguil, Teijón y Laciar; De Sá, Moreschini (69 Supichiatti) y Reinaldi.",foto,17 GOL De Sá (BEL)</br>88 GOL Francisco Del Valle (HUR),45,90,0,0
01/11/1973,Menotti,local,empate,2,2,Atl. Tucumán,7° fecha del Campeonato Nacional 1973,Tomás A. Ducó,Roberto Barreiro,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Edgardo Cantú (67 Carlos Leone) y Jorge Carrascosa; Eduardo Quiroga, Francisco Russo y Carlos Babington; René Houseman, Roque Avallay y Omar Larrosa (73 Francisco Del Valle).","Ruiz; Lencina, Filippini, Solórzano y Bulacio; Quinteros, Espeche y Díaz; Alderete, Santillán y González.",foto,19 GOL Quinteros (TUC)</br>29 GOL Quinteros (TUC)</br>35 GOL Carlos Babington (HUR) -penal-</br>72 GOL Roque Avallay (HUR),45,90,0,0
04/11/1973,Menotti,visitante,victoria,3,1,Desamparados (San Juan),8° fecha del Campeonato Nacional 1973,Serpentario (San Juan),Miguel Comesaña,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Francisco Russo y Jorge Carrascosa; Miguel Brindisi, Carlos Leone y Carlos Babington; René Houseman, Roque Avallay (75 José Scalise) y Omar Larrosa (75 Francisco Del Valle).","Palacios; Lizzi, Signorelli, González e I Vega; V Vega, A Vega y Czentorycky; Pereyra (35 Brizuela), Spadano y Rodríguez (60 Paz).",foto,18 GOL Carlos Babington (HUR)</br>69 GOL Carlos Babington (HUR) -penal-</br>70 GOL Miguel Brindisi</br>78 GOL Paz (DES) -penal-,45,90,0,0
08/11/1973,Menotti,visitante,victoria,-,-,Liga de Maipú,Amistoso,-,desconocido,Huracán,rival,foto,sin datos,45,90,0,0
11/11/1973,Menotti,local,victoria,1,0,Chaco For Ever,9° fecha del Campeonato Nacional 1973,Tomás A. Ducó,Jorge Romero,"Héctor Roganti; Nelson Chabay, Daniel Buglione, Francisco Russo y Jorge Carrascosa; Miguel Brindisi, Carlos Leone y Carlos Babington; René Houseman, Roque Avallay y Omar Larrosa (35 Rubén Suñé).","Pujol; J González, Ayala, Sandoval y A González; Oribe Fretes (73 López), Cáceres y Medina (46 Genolet); Palavecino, Olivera y Vargas.",foto,33 EXP Nelson Chabay (HUR)</br>33 EXP Vargas (CFE)</br>43 GOL Carlos Babington (HUR) -penal-,45,90,0,0
11/11/1973,Menotti,visitante,empate,3,3,Independiente Rivadavia (Mendoza),10° fecha del Campeonato Nacional 1973,Bautista Gargantini (Mendoza),Alberto Ducatelli,"Héctor Roganti; Rubén Suñé, Daniel Buglione, Francisco Russo y Jorge Carrascosa; Miguel Brindisi, Carlos Leone y Carlos Babington; René Houseman, Roque Avallay y Omar Larrosa.","Cabaleiro; Memoli, Guayama, Aguirre y Vergara; Benítez, Ibáñez y Lagrotaglie; Díaz (85 Soto), Méndez y Felman.",foto,30 GOL Benítez (INR)</br>47 GOL Felman (INR)</br>52 GOL René Houseman (HUR)</br>77 GOL Miguel Brindisi (HUR)</br>78 GOL Felman (INR)</br>81 EXP Rubén Suñé (HUR)</br>90 GOL Miguel Brindisi (HUR),45,90,0,0
18/11/1973,Menotti,local,victoria,4,0,Kimberley (Mar del Plata),11° fecha del Campeonato Nacional 1973,Tomás A. Ducó,Juan C. Rodríguez,"Héctor Roganti; Dante Roma, Daniel Buglione, Francisco Russo y Jorge Carrascosa; Miguel Brindisi, Carlos Leone y Carlos Babington (72 Alberto Fanesi); René Houseman (77 Ángel Tolisano), Roque Avallay y Omar Larrosa.","Ucha; Diez, L Fortunato, García y Capdevila; Maldonado, Sangorrin (46 Sergio Fortunato) y Santecchia; Cuesta, Lofredo (82 Rinaldi) y Miori.",foto,38 GOL Carlos Babington (HUR) -penal-</br>54 GOL Roque Avallay (HUR)</br>69 GOL Miguel Brindisi (HUR)</br>90 GOL Miguel Brindisi (HUR),45,90,0,0
