Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T
28/03/2015,Apuzzo,visitante,derrota,0,1,Banfield,7° fecha del Campeonato 2015,Florencio Sola,Germán Delfino,"Marcos Díaz; Leonardo Zaragoza, Hugo Nervo, Eduardo Domínguez y Luciano Balbi (46 Guillermo Sotelo); Nicolás Bruna (77 Lucas Campana), Federico Vismara, Patricio Toranzo y Edson Puch (33 Daniel Montenegro); Alejandro Romero Gamarra y Ramón Ábila.","Bologna; Yeri, Bianchi Arce, Víttor y Luciano Civelli; Domingo, Erviti, Cazares (82 Noguera) y Bertolo; Ricardo Noir (73 Viatri) y Cuero.",foto,48 GOL Bertolo,45,90
05/04/2015,Apuzzo,local,derrota,0,2,Boca Juniors,8° fecha del Campeonato 2015,Tomás A. Ducó,Fernando Rapallini,"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Guillermo Sotelo; Ezequiel Gallegos (60 Alejandro Romero Gamarra), Federico Vismara, Lucas Villarruel (79 Daniel Montenegro) e Iván Moreno Fabianesi; Lucas Campana (72 Agustín Torassa) y Ramón Ábila.","Sara; Peruzzi, D. Díaz, Torsiglieri y Colazo (55 Marín); Meli, Erbes, Pérez y Federico Carrizo; Lodeiro (62 Pavón) y Osvaldo (79 Calleri).",foto,24 GOL Meli</br>87 GOL Meli,45,90
08/04/2015,Apuzzo,local,empate,1,1,Universitario (Bolivia),4° fecha de Copa Libertadores 2015,Tomás A. Ducó,Ulises Mereles (Paraguay),"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Santiago Echeverría (75 Daniel Montenegro); Patricio Toranzo, Lucas Villarruel (64 Agustín Torassa), Federico Vismara y Alejandro Romero Gamarra (86 Iván Borghello); Edson Puch y Ramón Ábila.","Olivares; Ignacio González, Ezequiel Filippetto, Ballivián, Cuellar; Silvestre, De la Víctor Cuesta (74 Palavicini), Ribera y Flores; Leonardo Castro (89 Richard Mercado) y Suárez (80 Rojas).",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjDO6YOsoCd_4tCOcLWwrjU4hSJraD8vLO18kNy6gPwu8sf4jynKkAiCsXnHakoDoqzxOxqdU3EHwJY4jkAN3FQXi8BiHDBv_N_gJ0uec4p0Lzqku0ElrOU84xczMUr-t_w6AcavO4WPAFT/w600-h400/VS+UNIVERSITARIO+3.jpg,34 GOL Ramón Ábila (HUR)</br>39 GOL Suárez (UNS)</br><b>1° Tiempo: Huracán 1x1 Universitario</b>,45,90
11/04/2015,Apuzzo,visitante,derrota,0,2,Racing Club,9° fecha del Campeonato 2015,El Cilindro,Diego Ceballos,"Marcos Díaz; Santiago Echeverría, Hugo Nervo, Eduardo Domínguez y Guillermo Sotelo; Daniel Montenegro, Nicolás Bruna, Ezequiel Gallegos (83 Alejandro Romero Gamarra) y Agustín Torassa (67 Leonardo Zaragoza); Iván Moreno Fabianesi e Iván Borghello (58 Lucas Campana).","Saja; G Díaz, Sánchez, Yonathan Cabral y Voboril; Acuña, Cerro (64 Camacho), Acevedo y Nagüel (46 Núñez); Romero (75 Bou) y Fernández.",foto,45 EXP Guillermo Sotelo</br><b>1° Tiempo: Racing 0x0 Huracán</b></br>74 GOL Sánchez</br>79 GOL Nuñez,45,90
14/04/2015,Apuzzo,local,victoria,3,1,Cruzeiro MG (Brasil),5° fecha de Copa Libertadores 2015,Tomás A. Ducó,Patricio Polic (Chile),"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Luciano Balbi; Patricio Toranzo (80 Ezequiel Gallegos), Lucas Villarruel, Federico Vismara y Alejandro Romero Gamarra (84 Iván Moreno Fabianesi); Edson Puch (75 Agustín Torassa) y Ramón Ábila.","Fábio; Mayke, Léo, Paulo André y Mena (71 Pará); De Arrascaeta, Willians (47 Gabriel Xavier), Henrique y Farías; Willian (65 Riascos) y Leandro Damião.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEil8j61-zw-6TzPVqyYJYnXBwJRaiEZ8234W3yFPE9T0O4bXcwEolkU8Ctsvd9mXDgTiflgdcEFNF8vncAReqpaFFOPZ3uBu3Njmnu9sJ4Z2HzVL2ui28b8FdZI3bY0JgL98MhyVd9AcENd/w600-h400/VS+CRUZEIRO+1.jpg,14 GOL Ramón Ábila (HUR)</br>25 GOL Ramón Ábila (HUR)</br><b>1° Tiempo: Huracán 2x0 Cruzeiro</b></br>60p GOL Leandro Damião (CRU)</br>63 GOL Federico Mancinelli (HUR),45,90
18/04/2015,Apuzzo,local,derrota,1,2,Tigre,"10° fecha del Campeonato 2015",Tomás A. Ducó,Diego Abal,"Matías Giordano; Hugo Nervo, Santiago Carrera, Santiago Echeverría y David Distéfano; Daniel Montenegro, Nicolás Bruna (88 Agustín Gil Clariotti), Ezequiel Gallegos (73 Luciano Nieto) y Agustín Torassa; Iván Moreno Fabianesi y Lucas Campana (77 Iván Borghello).","García; Galmarini, Blengio, González Pirez y Goñi; Sánchez, Joaquín Arzura, Pelletieri (58 Bertoglio) y Alexis Castro (79 Janson); Luna y Larrondo (85 Garate).",foto,32 GOL González Pirez (TIG)</br>45 EXP David Distéfano (HUR)</br>51 GOL Daniel Montenegro (HUR)</br>81 GOL Matías Giordano (TIG) -en contra-,,45,90
21/04/2015,Apuzzo,visitante,derrota,0,3,Mineros (Venezuela),6° fecha de Copa Libertadores 2015,Cachamay (Ciudad Guayana),Daniel Fedorzuck (Uruguay),"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez (46 Cristian Espinoza) y Luciano Balbi; Patricio Toranzo (62 Daniel Montenegro), Lucas Villarruel (46 Agustín Torassa), Federico Vismara y Alejandro Romero Gamarra; Edson Puch y Ramón Ábila.","Romero; Matos, Velázquez, Edixon Cuevas y Cabello; Peña (59 López), Castillo, Acosta (85 Navarro) y Luis Guerra (70 Pérez); Zamir Valoyes y Rojas.",https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEi-lYiuPbc2cPRv46cvK9z_eco0SVLYeP0UNBmTvx2DdhU9MACyN_y4LLl_5-SWxh_Ycs_Yv4G7nYtkzIywi4wgfwX3SM6O3vjFyHCdTUzQjQfJ0NZUL6X1Mf6kBe8QFETtfw6aBWb9spow/w600-h400/VS+MINEROS+1.jpg,</br>10 GOL Zamir Valoyes (MIN)</br>40 GOL Zamir Valoyes (MIN)</br><b>1° Tiempo: Mineros 2x0 Huracán</b></br>65 GOL Acosta (MIN),45,90
25/04/2015,Apuzzo,neutral,victoria,1,0,River Plate,Supercopa 2015,Bicentenario (San Juan),Néstor Pitana,"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Eduardo Domínguez y Luciano Balbi; Lucas Villarruel, Federico Vismara, Cristian Espinoza (75 Ezequiel Gallegos) y Patricio Toranzo (80 Iván Moreno Fabianesi); Edson Puch (73 Agustín Torassa) y Ramón Ábila.","Marcelo Barovero; Mayada (85 Florencio Solari), Maidana, Funes Mori y Vangioni; Sánchez (58 Pisculichi), Kranevitter, Rojas (63 Driussi) y Gonzalo Martínez; Cavenaghi y Mora.",foto,22 GOL Edson Puch (HUR),45,90
02/05/2015,Apuzzo,visitante,empate,1,1,Rosario Central,11° fecha del Campeonato 2015,Gigante de Arroyito (Rosario),Darío Herrera,"Marcos Díaz; Federico Mancinelli, Hugo Nervo, Santiago Echeverría y Luciano Balbi; Patricio Toranzo (72 Alejandro Romero Gamarra), Lucas Villarruel (90 Alexis Ferrero), Federico Vismara y Edson Puch; Cristian Espinoza y Agustín Torassa (77 Iván Moreno Fabianesi).","Mauricio Caranta; Salazar, Gómez Andrade, Donatti y Villagra (88 Montoya); Colman, Nery Domínguez (46 Niell), Musto y Cervi (64 Aguirre); Delgado y Ruben.",foto,45 GOL Agustín Torassa (HUR) -penal-</br><b>1° Tiempo: Central 0x1 Huracán</b></br>50 GOL Villagra (CEN)</br>86 EXP Edson Puch (HUR),45,90
09/05/2015,Apuzzo,local,derrota,1,3,Olimpo (Bahía Blanca),12° fecha del Campeonato 2015,Tomás A. Ducó,Luis Álvarez,"Marcos Díaz; Federico Mancinelli (82 Agustín Gil Clariotti), Hugo Nervo, Santiago Echeverría y Luciano Balbi; Patricio Toranzo (73 Iván Moreno Fabianesi), Lucas Villarruel (79 Daniel Montenegro), Federico Vismara y Agustín Torassa; Cristian Espinoza e Iván Borghello.","Champagne; Juan I Sills (84 Parnisari), Furios, Moiraghi y Quiroga; Amoroso (44 Royón), Cobo, Blanco y Mansilla; Acosta (63 Encina) y Klusener.",foto,"Goles: 15p Agustín Torassa, 76 Royón, 80 Blanco y 90+3 Klusener.",45,90+3
