Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
22/09/1940,Laguna,visitante,victoria,4,2,Platense,22° fecha del Campeonato 1940,Saavedra,Domingo Solari,"Bruno Barrionuevo; Adolfo Gilli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","López; Aldabe y Boero; Esperón, Toledo y Zárraga; Galvagni, Oviedo, Stagi, Fernández y Prado.",foto,12 GOL Fernández (PLA)</br>22 GOL Emilio Baldonedo (HUR)</br>35 GOL Rogelio Barros (HUR)</br>73 GOL Rubén Perdomo (HUR)</br>87 GOL Herminio Masantonio (HUR)</br>89 GOL Oviedo (PLA),45,90,0,0
29/09/1940,Laguna,local,derrota,1,2,Racing Club,23° fecha del Campeonato 1940,La Quema,Bartolomé Macías,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Cuello; Salomón y Vidal; A Díaz, J Díaz y J García; Larretchart, Vicente Zito, Delfín Benítez Cáceres, Fila y E García.",foto,5 GOL Zito (RAC)</br>80 GOL Herminio Masantonio (HUR)</br>88 GOL Benítez Cáceres (RAC),45,90,0,0
06/10/1940,Laguna,visitante,derrota,1,5,Estudiantes (La Plata),24° fecha del Campeonato 1940,Uno (La Plata),Leopoldo Amoroso,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Ogando; E Rodríguez y Palma; Blotto, Ongaro y Sande; Galarza, Negri, Laferrara, Cirico y Manuel Pelegrina.",foto,1 GOL Laferrara (ELP)</br>8 GOL Negri (ELP)</br>24 GOL Cirico (ELP)</br>55 GOL Laferrara (ELP)</br>62 GOL Laferrara (ELP)</br>87 GOL Rubén Perdomo (HUR),45,90,0,0
20/10/1940,Laguna,local,empate,4,4,Newell's Old Boys (Rosario),25° fecha del Campeonato 1940,La Quema,José Abbene,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Héctor García y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Ramaciotti; Gilli y Sobrero; Sisniega, Ángel Perucca y Pellegrini; Amsler, Franco, Gayol, Morosano y Ferreyra.",foto,5 GOL Plácido Rodríguez (HUR)</br>15 GOL Gayol (NOB)</br>21 GOL Herminio Masantonio (HUR)</br>24 GOL Gayol (NOB)</br>27 Gayol (NOB)</br>49 GOL Emilio Baldonedo (HUR)</br>79 GOL Ferreyra (NOB)</br>86 GOL Emilio Baldonedo (HUR),45,90,0,0
27/10/1940,Laguna,visitante,derrota,0,3,Vélez Sarsfield,26° fecha del Campeonato 1940,El Fortín,Domingo Solari,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Juan M Bongiovanni, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Rotman; Castrillón y Battaglia; Alonso, Spinetto y Becerra; Reta, Noguera, Fuente, Correa y Fernández.",foto,6 GOL Fernández (VEL)</br>9 GOL Fuente (VEL)</br>13 GOL Reta (VEL),45,90,0,0
03/11/1940,Laguna,visitante,derota,2,4,River Plate,27° fecha del Campeonato 1940,Monumental,Bartolomé Macías,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Leonardi, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Ramón Guerra, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Blasco; Vaghi y Cuello; Norberto Yácono, José Minella y Ramos; Adolfo Pedernera, José Moreno, Roberto D'Alessandro, Ángel Labruna y Deambrosi.",foto,23 GOL Herminio Masantonio (HUR)</br>33 GOL Adolfo Pedernera (RPL)</br>36 GOL José Moreno (RPL)</br>50 GOL Roberto D'Alessandro (RPL)</br>74 GOL Deambrosi (RPL)</br>77 GOL Herminio Masantonio (HUR),45,90,0,0
10/11/1940,Laguna,local,empate,2,2,Boca Juniors,28° fecha del Campeonato 1940,Gasómetro,Domingo Solari,"Bruno Barrionuevo; Antonio Álvarez y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Delfín Unzué, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Juan A Estrada; Ibáñez y Valussi; López, Ernesto Lazzatti y Arico Suárez; Tenorio, Alarcón, Jaime Sarlanga, Bernardo Gandulla y Emeal.",foto,28 GOL Alarcón (BJU)</br>37 EXP Rubén Perdomo (HUR)</br>41 EXP Alarcón (BJU)</br>42 GOL Herminio Masantonio (HUR)</br>69 GOL Jaime Sarlanga (BJU)</br>87 GOL Jorge Alberti (HUR),45,90,0,0
17/11/1940,Laguna,visitante,victoria,3,2,Lanús,29° fecha del Campeonato 1940,Lanús,José Abbene,"Bruno Barrionuevo; Francisco Attadía y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Yustrich; Ducca y M López; Becchio, Strembel y Bonastre; A López, Ingunza, Arrieta, García y Di Lallo.",foto,3 GOL Herminio Masantonio (HUR)</br>31 GOL García (LAN)</br>53 GOL Arrieta (LAN)</br>62 GOL Herminio Masantonio (HUR)</br>87 GOL Emilio Baldonedo (HUR)</br>88 EXP Ducca (LAN)</br>88 EXP Plácido Rodríguez (HUR),45,90,0,0
24/11/1940,Laguna,local,derrota,1,2,Atlanta,30° fecha del Campeonato 1940,La Quema,Bartolomé Macías,"Bruno Barrionuevo; Francisco Attadía y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Juan C Salvini, Delfín Unzué, Herminio Masantonio, Emilio Baldonedo y Jorge Cano.","Bresoli; Del Felice y Bedia; Valdatti, Sosa y Batagliero; Freije, Ramos, Zabaleta, Rodríguez y Martino.",foto,12 GOL Isidro Zabaleta (ATL)</br>33 GOL Herminio Masantonio (HUR)</br>79 GOL Freije (ATL),45,90,0,0
01/12/1940,Laguna,visitante,victoria,1,0,Independiente,31° fecha del Campeonato 1940,Independiente,Leopoldo Amoroso,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramó Gazáneo, Manuel Giúdice y Juan M Bongiovanni; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Jorge Cano.","Carlés; Sanguinetti y Coletta; Franzolini, Leguizamón y C Martínez; Vilariño, Vicente De la Mata, Arsenio Erico, Antonio Sastre y Zorrilla.",foto,9 GOL Herminio Masantonio (HUR),45,90,0,0
08/12/1940,Laguna,local,victoria,3,2,Gimnasia y Esgrima (La Plata),32° fecha del Campeonato 1940,La Quema,Ricardo Riestra,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Jorge Cano.","Muñiz; Montáñez y Blanes; Tombell, Scarone y E. Cerioni; P. Cerioni, Fidel, Daniele, Orleans y Arregui.",foto,20 GOL Daniele (GYE)</br>31 GOL Rogelio Barros (HUR)</br>40 GOL Rogelio Barros (HUR)</br>43 GOL Jorge Cano (HUR)</br>75 GOL P Cerioni (GYE),45,90,0,0
14/12/1940,Laguna,visitante,derrota,3,4,Rosario Central,33° fecha del Campeonato 1940,Arroyito (Rosario),Bartolomé Macías,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Araiz; Perucca y Lescano; Díaz, Ríos y Fogel; Laporta, Cisterna, Armendári, Marcovich y Maffei.",foto,3 GOL Cisterna (RCE)</br>24 GOL Marcovich (RCE)</br>44 GOL Emilio Baldonedo (HUR)</br>62 GOL Cisterna (RCE)</br>74 GOL Maffei (RCE)</br>84 GOL Emilio Baldonedo (HUR)</br>89 GOL Delfín Unzué,45,90,0,0
17/12/1940,Laguna,local,victoria,3,0,Tigre,34° fecha del Campeonato 1940,Gasómetro,Leopoldo Amoroso,"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti; Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Delfín Unzué, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","José Monjo; Hazaña y Medina; Kagel, Videla y Oubiñas; Tosoni, Spandre, Marvezy, Troncoso y Careri.",foto,58 GOL Manuel Giúdice (HUR)</br>69 GOL Herminio Masantonio (HUR)</br>78 GOL Rogelio Barros (HUR),45,90,0,0
22/12/1940,Laguna,visitante,derrota,1,2,Colo Colo (Chile),Gira por Chile 1940 (amistoso),Nacional (Chile),Felipe Horta (Chile),"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti (82 Adolfo Gilli); Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez (59 Delfín Unzué).","Erazo; Selfate y Fernández; Flores, Castillo y Pastana (51 Zambrano); Sorrel, Socarrat, Domínguez, Contreras y Beizaga (35 Rojas).",foto,23 GOL Herminio Masantonio (HUR)</br>49 GOL Domínguez (COC)</br>83 GOL Sorrel (COC) -penal-,45,90,0,0
26/12/1940,Laguna,visitante,derrota,1,2,Universidad de Chile,Gira por Chile 1940 (amistoso),Nacional (Chile),Alfredo Vargas (Chile),"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti (61 Adolfo Gilli); Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros (70 Ramón Guerra), Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Simián; Breñas (64 Las Heras) y Ellis; Busquets, Nocetti y De Sáa; Pasalacqua, Ramos, Toro, Alonso y Balbuena.",foto,6 GOL Toro (UCH)</br>31 GOL Plácido Rodríguez (HUR)</br>60 GOL Alonso (UCH),45,90,0,0
28/12/1940,Laguna,visitante,victoria,6,2,Magallanes (Chile),Gira por Chile 1940 (amistoso),Nacional (Chile),Carlos Díaz (Chile),"Bruno Barrionuevo; Carlos Marinelli y Jorge Alberti (46 Adolfo Gilli); Ramón Gazáneo, Manuel Giúdice y Jorge Titonell; Rubén Perdomo, Rogelio Barros, Herminio Masantonio, Emilio Baldonedo y Plácido Rodríguez.","Pérez (33 Fernández); Liendo (56 Ellis) y Riveros; Castillo, Pasache y Albadiz; Valenzuela, Ramos (46 Mediavilla), Toro (46 Pasalacqua), Avendaño (46 Córdova) y Muñoz.",foto,24 GOL Ramón Gazáneo (HUR)</br>32 GOL Herminio Masantonio (HUR)</br>40 GOL Valenzuela (MAG)</br>49 GOL Plácido Rodríguez (HUR)</br>55 GOL Herminio Masantonio (HUR)</br>66 GOL Herminio Masantonio (HUR)</br>80 GOL Muñoz (MAG)</br>81 GOL Rubén Perdomo (HUR),45,90,0,0
