Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T
05/02/2000,Babington,visitante,empate,3,3,San Miguel,19° fecha del Nacional B 1999/2000
13/02/2000,Babington,local,victoria,3,1,Temperley,20° fecha del Nacional B 1999/2000
19/02/2000,Babington,visitante,victoria,2,0,Arsenal,21° fecha del Nacional B 1999/2000
26/02/2000,Babington,local,victoria,4,1,Nueva Chicago,22° fecha del Nacional B 1999/2000
04/03/2000,Babington,visitante,derrota,0,1,Central Córdoba (Rosario) ,23° fecha del Nacional B 1999/2000
11/03/2000,Babington,local,empate,1,1,Defensa y Justicia,24° fecha del Nacional B 1999/2000
18/03/2000,Babington,visitante,victoria,2,1,Dep. Morón,25° fecha del Nacional B 1999/2000
25/03/2000,Babington,local,Victoria,2,1,Tigre,26° fecha del Nacional B 1999/2000
02/04/2000,Babington,local,derrota,0,1,Los Andes,27° fecha del Nacional B 1999/2000
08/04/2000,Babington,visitante,derrota,0,1,Banfield,28° fecha del Nacional B 1999/2000
15/04/2000,Babington,local,empate,2,2,El Porvenir,29° fecha del Nacional B 1999/2000
23/04/2000,Babington,visitante,victoria,2,1,Platense,30° fecha del Nacional B 1999/2000
06/05/2000,Babington,local,Victoria,6,0,All Boys,31° fecha del Nacional B 1999/2000
14/05/2000,Babington,visitante,victoria,5,0,Argentino (Rosario) ,32° fecha del Nacional B 1999/2000
20/05/2000,Babington,local,empate,2,2,Quilmes,33° fecha del Nacional B 1999/2000
28/05/2000,Babington,visitante,derrota,1,2,Almagro,34° fecha del Nacional B 1999/2000
04/06/2000,Babington,visitante,victoria,2,1,San Martín (Mendoza),Semifinal del Nacional B 1999/2000
10/06/2000,Babington,local,derrota,0,1,San Martín (Mendoza),Semifinal del Nacional B 1999/2000
17/06/2000,Babington,visitante,victoria,1,0,Quilmes,Final del Nacional B 1999/2000
25/06/2000,Babington,local,empate,1,1,Quilmes,Final del Nacional B 1999/2000
30/07/2000,Babington,visitante,empate,1,1,Colón (Santa Fe),1° fecha del Campeonato Apertura 2000
04/08/2000,Babington,local,victoria,3,1,Rosario Central,2° fecha del Campeonato Apertura 2000
20/08/2000,Babington,visitante,victoria,2,0,Independiente,3° fecha del Campeonato Apertura 2000
27/08/2000,Babington,local,empate,1,1,Talleres (Córdoba),4° fecha del Campeonato Apertura 2000
05/09/2000,Babington,visitante,derrota,0,1,Los Andes,5° fecha del Campeonato Apertura 2000
10/09/2000,Babington,local,victoria,2,1,San Lorenzo de Almagro,6° fecha del Campeonato Apertura 2000
17/09/2000,Babington,visitante,derrota,1,2,Chacarita Juniors,7° fecha del Campeonato Apertura 2000
24/09/2000,Babington,local,derrota,0,1,Boca Juniors,8° fecha del Campeonato Apertura 2000
01/10/2000,Babington,visitante,empate,1,1,Argentinos Juniors,9° fecha del Campeonato Apertura 2000
14/10/2000,Babington,local,derrota,0,1,Unión (Santa Fe),10° fecha del Campeonato Apertura 2000
21/10/2000,Babington,visitante,derrota,3,4,Gimnasia y Esgrima (La Plata),11° fecha del Campeonato Apertura 2000
28/10/2000,Babington,local,victoria,2,0,Newell’s Old Boys (Rosario),12° fecha del Campeonato Apertura 2000
05/11/2000,Babington,visitante,empate,2,2,Racing Club,13° fecha del Campeonato Apertura 2000
11/11/2000,Babington,local,victoria,1,0,Belgrano (Córdoba),14° fecha del Campeonato Apertura 2000
19/11/2000,Babington,visitante,empate,1,1,Almagro,15° fecha del Campeonato Apertura 2000
