Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
19/08/1917,Idiarte,visitante,victoria,3,0,Ferro C. Oeste,14° fecha del campeonato 1917,Caballito,Enrique Rolón,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Donato Abbatángelo, Feliciano Medina y Jaime Chavin.","Garbagnatti; Elordi y A Pini; Caprile, Santos Barbera y Di Lorenzo; Gutiérrez, Pezzetoni, José Pezzutti, J Pini y Crespo.",foto,2 GOL Donato Abbatángelo (HUR)</br>75 GOL Donato Abbatángelo (HUR)</br>12 GOL Jaime Chavin (HUR),45,90,0,0
26/08/1917,Idiarte,visitante,victoria,2,1,San Isidro,2° fase de Copa de Honor 1917,San Isidro,Vacarezza,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Amicarelli y Pedro Martínez; Miguel Ginevra, José Laguna, Humberto Bassadone, Feliciano Medina y Jaime Chavin.","Carlos Wilson; Bruno y Morgan; Pérez, Morroni y Badaracco; Elías Fernández, J Fernández, Marini, Alzúa y Bincas.",foto,12 GOL Marini (SIS)</br>59 GOL José Laguna (HUR)</br>73 GOL José Laguna (HUR),45,90,0,0
09/09/1917,Idiarte,local,derrota,1,3,Sportivo Barracas,15° fecha del campeonato 1917,Chiclana 4100,Germán Guassoni,"Francisco Pazos; Juan Idiarte y Rogelio Amicarelli; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Miguel Ginevra, Humberto Bassadone, Agustín Alberti, Feliciano Medina y Jaime Chavin.","Muttoni; Phillipe y Podestá; Vilagut, Cumo y Giordano; Picabea, Sixto, Comaschi, Fiorito y Gaztelú.",foto,17 GOL Feliciano Medina (HUR)</br>48 GOL Sixto (SPB)</br>55 LES Mario Bassadone (HUR)</br>59 GOL Comaschi (SPB)</br>66 GOL Picabea (SPB),45,90,0,0
16/09/1917,Idiarte,neutral,derrota,2,3,River Plate,Semifinal porteña de Copa de Honor 1917,Racing,Germán Guassoni,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Vicente Chiarante y Pedro Martínez; Miguel Ginevra, José Laguna, Feliciano Medina, José Soula y Jaime Chavin.","Carlos Isola; Arturo Chiappe y Calneggia; Peruzzi, García y Heriberto Simmons; Risso, Ameal Pereyra, Schumann, Rofrano y Taggino.",foto,5 GOL José Soula (HUR)</br>10 GOL Feliciano Medina (HUR)</br>28 GOL Schuhmann (RPL)</br>55 GOL Rofrano (RPL)</br>58 EXP Agustín Alberti (HUR)</br>69 GOL Taggino (RPL),45,90,0,0
07/10/1917,Idiarte,local,victoria,1,0,Porteño,Amistoso 1917,Chiclana 4100,Juan Ataúm,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Vicente Chiarante; Miguel Ginevra, José Laguna, Feliciano Medina, José Soula y Torres.","Orlando Medina; Schweitzer y Amorín; Dent, Ayala y Jaeshke; Pérez, Poulliet, Destuet, Pascual Polimeni y Bilbao.",foto,52 GOL Mario Bassadone (HUR),45,90,0,0
28/10/1917,Idiarte,neutral,derrota,0,1,Estudiantes (La Plata),Semifinal Porteña de Copa Competencia 1917,Caballito,Enrique Rolón,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Filippini y Vicente Chiarante; Miguel Ginevra, José Laguna, Feliciano Medina, José Soula y Jaime Chavin.","Duarte; Gallo y Galup Lanús; Tolosa, Ferreiroa y Cilley; Rippa, Bardi, Lamas, Lascano y Calandra.",foto,-Tiempo Extra-</br>104 GOL Calandra (ELP)</br>115 Partido suspendido,45,90,105,115
04/11/1917,Idiarte,visitante,derrota,1,2,San Isidro,16° fecha del campeonato 1917,San Isidro,Antonio Suñé,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Vicente Chiarante; Miguel Ginevra, José Laguna, Feliciano Medina, José Soula y Jaime Chavin.","C Recanatini; Olivari y Morgan; Pérez, Morroni y Badaracco; Elías Fernández, J Fernández, L Recanatini, Sayanes y Alzúa.",foto,52 GOL J Fernández (SIS)</br>58 GOL Feliciano Medina (HUR)</br>76 GOL Elías Fernández (SIS),45,90,0,0
11/11/1917,Idiarte,visitante,victoria,4,1,Estudiantil Porteño,17° fecha del Campeonato 1917,Parque Centenario,Luis Bonacini,"Cándido Blanco; Juan Idiarte y Agustín Alberti; Jaime Chavin, Mario Bassadone y Pedro Martínez; Miguel Ginevra, José Laguna, Humberto Bassadone, José Soula y Padin.","Caldano; Garaza y Moglia; Ernesto Matozzi, Romero y Mujica; Minaverry, Etchegaray, F Pisa, J Pisa y Costas.",foto,9 GOL Humberto Bassadone (HUR)</br>26 GOL José Laguna (HUR)</br>29 GOL José Laguna (HUR)</br>32 GOL Miguel Ginevra (HUR)</br>70 GOL Matozzi (EPO) -penal-</br>87 EXP Humberto Bassadone (HUR),45,90,0,0
18/11/1917,Idiarte,local,empate,0,0,Gimnasia y Esgrima (La Plata),18° fecha del campeonato 1917,Chiclana 4100,J. Fusanetti,"Francisco Pazos; Juan Idiarte y Agustín Alberti; Natalio Carabelli, Mario Bassadone y Pedro Martínez; Humberto Bassadone, José Laguna, Feliciano Medina, José Soula y Jaime Chavin.","Fernández; Sancet e Iglesias; Richetti, Negri y Naón; Felices, Mítolo, Bernasconi, Capparelli y Arrúa.",foto,1° Tiempo: Huracán 0x0 Gimnasia,45,90,0,0
02/12/1917,-,local,derrota,0,1,Gral. Mitre,Amistoso 1917,Chiclana 4100,Mario Bassadone,"Cándido Blanco; Ramón Vázquez y Jaime Chavin; Francisco Filippini, Natalio Carabelli y Pedro Martínez; Alejandro De los Santos, José Laguna, Humberto Bassadone, Feliciano Medina y Alfredo Larmeu.","Rodolfo Sosa; Neptalí Acosta y Gensérico Acosta; Candiani, Segundo Achar y Cernich; A. Antonelli, Lindolfo Acosta, Badié, A Antonelli y Cortés.",foto,GOL Neptalí Acosta (GMI),45,90,0,0
