Fecha,Técnico,Condición,Situación,Resultado1,Resultado2,Club,Torneo,Estadio,Árbitro,Huracán,Rival,Foto,Incidencias,Fin1T,Fin2T,Fin1E,Fin2E
02/04/1933,Martínez,local,derrota,1,2,San Lorenzo de Almagro,4° fecha del Campeonato 1933,La Quema,Bartolomé Macías,Huracán,rival,foto,sin datos,45,90,0,0
09/04/1933,Martínez,visitante,derrota,2,4,Lanús,5° fecha del Campeonato 1933,Lanús,Alfredo D'Espósito,Huracán,rival,foto,sin datos,45,90,0,0
13/04/1933,Martínez,neutral,victoria,2,0,Argentinos Juniors,1° fase de Copa Competencia 1933,Caballito,Alberto Neme,"Ernesto Parini; Pascual Di Paola y Emilio Moyano; Miguel Prestipino, Máximo Federici y Hugo Settis; Carlos Belfiore, Juan A Rivarola, Herminio Masantonio, Francisco Rodríguez y Ricardo Gil.","Luis Pardiés; Luis Vasini y José Giachetti; Enrique Vernieres, José Volante y Blas Lobianco; Victor Couton, Armando Tarrío, Mario Fortunato, José García y Luciano Berzio.",foto,47 GOL Herminio Masantonio (HUR) -cañonazo tras rechazo de defensa-</br>69 GOL Ricardo Gil (HUR) -cabezazo tras centro asistido por Herminio Masantonio (HUR)-,45,90,0,0
16/04/1933,Martínez,local,victoria,2,0,River Plate,6° fecha del Campeonato 1933,La Quema,Ricardo Riestra,Huracán,rival,foto,sin datos,45,90,0,0
23/04/1933,Martínez,visitante,derrota,0,4,Racing Club,7° fecha del Campeonato 1933,Racing,Eduardo Forte,Huracán,rival,foto,sin datos,45,90,0,0
30/04/1933,Martínez,local,derrota,0,1,Chacarita Juniors,8° fecha del Campeonato 1933,La Quema,Ricardo Riestra,Huracán,rival,foto,sin datos,45,90,0,0
07/05/1933,Martínez,local,empate,0,0,Quilmes,9° fecha del Campeonato 1933,La Quema,Eduardo Forte,Huracán,rival,foto,sin datos,45,90,0,0
14/05/1933,Martínez,visitante,derrota,1,3,Platense,10° fecha del Campeonato 1933,Saavedra,Cirilo Garigliano,Huracán,rival,foto,sin datos,45,90,0,0
21/05/1933,Martínez,local,victoria,2,1,Estudiantes (La Plata),11° fecha del Campeonato 1933,La Quema,Alberto Neme,Huracán,rival,foto,sin datos,45,90,0,0
28/05/1933,Martínez,visitante,derrota,0,5,Vélez Sarsfield,12° fecha del Campeonato 1933,El Fortín,Eduardo Forte,Huracán,rival,foto,sin datos,45,90,0,0
04/06/1933,Martínez,local,derrota,1,3,Tigre,13° fecha del Campeonato 1933,La Quema,Natalio Valdatta,Huracán,rival,foto,sin datos,45,90,0,0
11/06/1933,Martínez,visitante,derrota,0,2,Argentinos Juniors,14° fecha del Campeonato 1933,La Paternal,Enrique Roldán,Huracán,rival,foto,sin datos,45,90,0,0
15/06/1933,Martínez,neutral,empate,1,1,Quilmes,2° fase de Copa Competencia 1933,Boca Juniors,desconocido,"Juan A Estrada; Genaro Mastrángelo y Emilio Moyano; Juan Rizzi, Máximo Federici y Roberto Fernández; Emilio Ducrey, Juan A Rivarola, Herminio Masantonio, Guillermo Cepeda y Ricardo Gil.","Arsenio López; Emilio Ravignani y Marcial Rodríguez; Fortunato Androssi, Antonio Díaz y David Morales; Leonardo Sandoval, Juan Arrillaga, Rodolfo Acerbo, Juan Mandile y Luis Fernández.",foto,9 GOL Emilio Ducrey (HUR) -tiro cruzado-</br><b>1° Tiempo: Huracán 1x0 Quilmes</b></br>84 GOL Rodolfo Acervo (QAC) -tras centro asistido por Luis Fernández (QAC)-</br><b>2° Tiempo: Huracán 1x1 Quilmes</b></br><b>-Tiempo Extra-</b></br>1° Tiempo Extra: Huracán 1x1 Quilmes</br>116 Se da por finalizado el partido</b>,45,90,105,116
18/06/1933,Martínez,local,derrota,2,4,Gimnasia y Esgrima (La Plata),15° fecha del Campeonato 1933,La Quema,Ubaldo Ruiz,Huracán,rival,foto,sin datos,45,90,0,0
21/06/1933,Martínez,neutral,victoria,2,0,Quilmes,2° fase (desempate) de Copa Competencia 1933,Gasómetro,Alberto Rojo Miró,"Juan A Estrada; Pascual Di Paola y Emilio Moyano; Cecilio Villar, Máximo Federici y Juan Rizzi; Emilio Ducrey, Juan A Rivarola, Juan C Rodríguez, Herminio Masantonio y Ricardo Gil.","Cilenio Cuello; Emilio Ravignani y Marcial Rodríguez; David Morales, Julio Murúa y Fortunato Androssi; Leonardo Sandoval, Juan Arrillaga, Rodolfo Acerbo, Juan Mandile y Luis Fernández.",foto,3 GOL Juan C Rodriguez -cabezazo en tiro libre asistido por Emilio Ducrey (HUR)-</br>83 GOL Herminio Masantonio (HUR) -tras esquivar rivales-,45,90,0,0
25/06/1933,Martínez,visitante,empate,0,0,Ferro C. Oeste,16° fecha del Campeonato 1933,Caballito,Luis Celleri,Huracán,rival,foto,sin datos,45,90,0,0
02/07/1933,Martínez,local,empate,0,0,Atlanta,17° fecha del Campeonato 1933,La Quema,Juan R. Pozzo,Huracán,rival,foto,sin datos,45,90,0,0
16/07/1933,Martínez,local,empate,1,1,Talleres,18° fecha del Campeonato 1933,La Quema,Ricardo Riestra,Huracán,rival,foto,sin datos,45,90,0,0
